korean,english,alt,situation,note,category
요즘 물가가 미쳤어 장보기도 부담스러워,Prices are insane these days. Even grocery shopping is getting expensive.,Everything's so pricey now. The cost of living is no joke.,물가,cost of living = 생활비 / insane = 미친 듯한,시사
금리가 또 올랐대 대출 이자 어떡하지,Interest rates went up again. What am I gonna do about my loan payments?,They raised the rates again. My mortgage is killing me.,금리,"interest rate = 금리 / mortgage = 주택담보대출, loan payment = 대출 상환금",시사
주식 시장이 요즘 완전 롤러코스터야,The stock market is a total rollercoaster these days.,Stocks have been all over the place lately.,주식,rollercoaster = 급등락을 반복하다 / all over the place = 오락가락하다,시사
집값이 너무 올라서 내 집 마련은 꿈도 못 꿔,Housing prices are so high that owning a home is just a dream.,Real estate is so expensive I can't even dream of buying a place.,부동산,owning a home = 내 집 마련 / real estate = 부동산,시사
환율이 이렇게 높으니까 해외여행 엄두도 못 내겠어,With the exchange rate this high I can't even think about traveling abroad.,The exchange rate is so bad that overseas trips are out of the question.,환율,exchange rate = 환율 / out of the question = 불가능한,시사
요즘 경기 침체라고 하더라 취업이 더 힘들어지겠다,They say we're in a recession now. Job hunting is gonna get even harder.,The economy is in a downturn. Finding a job will be tougher.,경기침체,recession = 경기 침체 / downturn = 하락세,시사
인플레이션이 심해서 월급은 그대로인데 쓸 돈은 늘었어,"Inflation is so bad that my salary stays the same, but my expenses keep going up.","With inflation this high, my paycheck doesn't stretch like it used to.",인플레이션,inflation = 인플레이션 / paycheck doesn't stretch = 월급이 부족하다,시사
부동산 거품 꺼지면 큰일 나는 거 아니야?,Isn't it gonna be a disaster if the real estate bubble bursts?,What happens when the housing bubble pops? That's scary.,부동산,bubble bursts = 거품이 꺼지다 / disaster = 큰일,시사
요즘 코인 투자하는 사람 진짜 많더라,So many people are investing in crypto these days.,Everyone and their mom is into cryptocurrency now.,투자,crypto/cryptocurrency = 암호화폐 / investing = 투자하다,시사
물가 오르는 속도를 월급이 못 따라가,Wages can't keep up with how fast prices are rising.,Salary increases can't match the rate of inflation.,물가,keep up with = ~를 따라가다 / rate of inflation = 물가 상승률,시사
전세 사기 뉴스 보면 진짜 무서워,The news about deposit fraud scams is really scary.,All these rental deposit scams are terrifying.,부동산,deposit fraud = 전세 사기 / scam = 사기,시사
금리 인하 기대했는데 아직 멀었나 봐,I was hoping for a rate cut but it seems like it's still far off.,Looks like the interest rate cut we were waiting for isn't coming anytime soon.,금리,rate cut = 금리 인하 / far off = 아직 멀다,시사
스태그플레이션 온다는 얘기도 있더라,Some people are even talking about stagflation.,There's talk of stagflation hitting us.,경제,stagflation = 스태그플레이션(경기침체+물가상승) / hitting us = 닥치다,시사
요즘 자영업자들 진짜 힘들겠다,Small business owners must be having such a hard time these days.,I feel for the self-employed folks right now. Times are tough.,경제,small business owner = 자영업자 / times are tough = 시기가 힘들다,시사
미국 연준이 어떻게 하느냐에 따라 우리 경제도 흔들리잖아,"Our economy shakes depending on what the Fed does, you know.",The Korean economy is so tied to whatever the US Federal Reserve decides.,경제,the Fed = 미국 연방준비제도 / tied to = ~에 연동되다,시사
적금 이율이 너무 낮아서 돈 모으기 힘들어,Savings account rates are so low it's hard to save money.,The interest on savings is pathetic. How are we supposed to save?,경제,savings account = 적금 / pathetic = 한심할 정도로 낮은,시사
요즘 무역 적자가 심각하다던데,I heard the trade deficit is getting serious.,The trade deficit has been really bad lately.,경제,trade deficit = 무역 적자 / serious = 심각한,시사
실업률이 올라가고 있다는 뉴스 봤어?,Did you see the news that the unemployment rate is going up?,Have you heard unemployment is on the rise?,경제,unemployment rate = 실업률 / on the rise = 상승 중인,시사
세금은 올리고 복지는 줄이면 누가 좋아하겠어,"If they raise taxes and cut welfare, who's gonna be happy about that?","Raising taxes while cutting benefits? Nobody's going to support that.",경제,raise taxes = 세금을 올리다 / cut welfare = 복지를 줄이다,시사
공급망 문제 때문에 물건값이 다 올랐어,Prices went up across the board because of supply chain issues.,Supply chain disruptions drove up the cost of everything.,경제,supply chain = 공급망 / across the board = 전반적으로,시사
