brinkmanship,"The leader's brinkmanship brought the two nations dangerously close to armed conflict.",벼랑 끝 전술,"지도자의 벼랑 끝 전술은 두 나라를 무력 충돌의 위험한 경계로 몰고 갔다.",瀬戸際政策,"指導者の瀬戸際政策は両国を武力衝突の危険な境界に追い込んだ。",边缘政策,"领导人的边缘政策使两国危险地接近武装冲突。",política de riesgo calculado,"La política de riesgo calculado del líder llevó a las dos naciones peligrosamente cerca de un conflicto armado.",chính sách bên miệng hố chiến tranh,"Chính sách bên miệng hố chiến tranh của nhà lãnh đạo đã đưa hai quốc gia đến gần xung đột vũ trang một cách nguy hiểm.",นโยบายเสี่ยงขั้นสุด,"นโยบายเสี่ยงขั้นสุดของผู้นำทำให้ทั้งสองประเทศเข้าใกล้ความขัดแย้งทางอาวุธอย่างอันตราย",politik brinksmanship,"Politik brinksmanship pemimpin tersebut membawa kedua negara sangat dekat ke konflik bersenjata."
epigenetics,"Epigenetics reveals how environmental factors can alter gene expression without changing DNA sequences.",후성유전학,"후성유전학은 환경적 요인이 DNA 서열을 변경하지 않고 유전자 발현을 어떻게 변화시킬 수 있는지 밝혀준다.",エピジェネティクス,"エピジェネティクスは環境要因がDNA配列を変えずに遺伝子発現をどのように変化させるかを明らかにする。",表观遗传学,"表观遗传学揭示了环境因素如何在不改变DNA序列的情况下改变基因表达。",epigenética,"La epigenética revela cómo los factores ambientales pueden alterar la expresión génica sin cambiar las secuencias de ADN.",di truyền biểu sinh,"Di truyền biểu sinh cho thấy các yếu tố môi trường có thể thay đổi biểu hiện gen mà không thay đổi trình tự DNA.",เอพิเจเนติกส์,"เอพิเจเนติกส์เผยให้เห็นว่าปัจจัยด้านสิ่งแวดล้อมสามารถเปลี่ยนแปลงการแสดงออกของยีนโดยไม่เปลี่ยนลำดับดีเอ็นเอ",epigenetika,"Epigenetika mengungkap bagaimana faktor lingkungan dapat mengubah ekspresi gen tanpa mengubah urutan DNA."
placebo effect,"The placebo effect demonstrates the powerful influence of psychological expectation on physical healing.",위약 효과,"위약 효과는 심리적 기대가 신체 치유에 미치는 강력한 영향을 보여준다.",プラセボ効果,"プラセボ効果は心理的期待が身体の治癒に及ぼす強力な影響を示す。",安慰剂效应,"安慰剂效应表明心理预期对身体愈合的强大影响。",efecto placebo,"El efecto placebo demuestra la poderosa influencia de la expectativa psicológica en la curación física.",hiệu ứng giả dược,"Hiệu ứng giả dược cho thấy ảnh hưởng mạnh mẽ của kỳ vọng tâm lý đối với quá trình chữa lành thể chất.",ผลของยาหลอก,"ผลของยาหลอกแสดงให้เห็นอิทธิพลอันทรงพลังของความคาดหวังทางจิตวิทยาต่อการรักษาทางกายภาพ",efek plasebo,"Efek plasebo menunjukkan pengaruh kuat ekspektasi psikologis terhadap penyembuhan fisik."
autonomous weapon,"The development of autonomous weapons raises profound ethical questions about algorithmic decision-making in warfare.",자율무기,"자율무기의 개발은 전쟁에서 알고리즘적 의사결정에 대한 심오한 윤리적 질문을 제기한다.",自律型兵器,"自律型兵器の開発は戦争におけるアルゴリズムによる意思決定について深い倫理的問題を提起する。",自主武器,"自主武器的开发引发了关于战争中算法决策的深刻伦理问题。",arma autónoma,"El desarrollo de armas autónomas plantea profundas cuestiones éticas sobre la toma de decisiones algorítmica en la guerra.",vũ khí tự hành,"Việc phát triển vũ khí tự hành đặt ra những câu hỏi đạo đức sâu sắc về việc ra quyết định bằng thuật toán trong chiến tranh.",อาวุธอัตโนมัติ,"การพัฒนาอาวุธอัตโนมัติก่อให้เกิดคำถามทางจริยธรรมอันลึกซึ้งเกี่ยวกับการตัดสินใจด้วยอัลกอริทึมในสงคราม",senjata otonom,"Pengembangan senjata otonom menimbulkan pertanyaan etis yang mendalam tentang pengambilan keputusan algoritmik dalam peperangan."
board of directors,"The board of directors unanimously approved the strategic restructuring plan.",이사회,"이사회는 전략적 구조조정 계획을 만장일치로 승인했다.",取締役会,"取締役会は戦略的リストラ計画を全会一致で承認した。",董事会,"董事会一致批准了战略重组计划。",junta directiva,"La junta directiva aprobó unánimemente el plan de reestructuración estratégica.",hội đồng quản trị,"Hội đồng quản trị đã nhất trí thông qua kế hoạch tái cơ cấu chiến lược.",คณะกรรมการบริษัท,"คณะกรรมการบริษัทอนุมัติแผนปรับโครงสร้างเชิงกลยุทธ์เป็นเอกฉันท์",dewan direksi,"Dewan direksi dengan suara bulat menyetujui rencana restrukturisasi strategis."
dark matter,"Dark matter constitutes approximately twenty-seven percent of the universe yet remains undetectable by conventional instruments.",암흑물질,"암흑물질은 우주의 약 27%를 구성하지만 기존 장비로는 감지할 수 없다.",暗黒物質,"暗黒物質は宇宙の約27パーセントを構成するが従来の機器では検出できない。",暗物质,"暗物质约占宇宙的百分之二十七但仍然无法用传统仪器探测到。",materia oscura,"La materia oscura constituye aproximadamente el veintisiete por ciento del universo pero sigue siendo indetectable por instrumentos convencionales.",vật chất tối,"Vật chất tối chiếm khoảng hai mươi bảy phần trăm vũ trụ nhưng vẫn không thể phát hiện bằng các thiết bị thông thường.",สสารมืด,"สสารมืดประกอบเป็นประมาณยี่สิบเจ็ดเปอร์เซ็นต์ของจักรวาลแต่ยังตรวจจับไม่ได้ด้วยเครื่องมือทั่วไป",materi gelap,"Materi gelap menyusun sekitar dua puluh tujuh persen alam semesta namun tetap tidak terdeteksi oleh instrumen konvensional."
antimatter,"When antimatter collides with matter both are annihilated releasing enormous energy.",반물질,"반물질이 물질과 충돌하면 둘 다 소멸하면서 엄청난 에너지를 방출한다.",反物質,"反物質が物質と衝突すると両方が消滅し莫大なエネルギーを放出する。",反物质,"当反物质与物质碰撞时两者都会湮灭释放出巨大的能量。",antimateria,"Cuando la antimateria colisiona con la materia ambas se aniquilan liberando una energía enorme.",phản vật chất,"Khi phản vật chất va chạm với vật chất cả hai đều bị hủy diệt giải phóng năng lượng khổng lồ.",ปฏิสสาร,"เมื่อปฏิสสารชนกับสสาร ทั้งสองจะถูกทำลายล้างและปลดปล่อยพลังงานมหาศาล",antimateri,"Ketika antimateri bertabrakan dengan materi keduanya dimusnahkan dan melepaskan energi yang sangat besar."
string theory,"String theory posits that fundamental particles are actually one-dimensional vibrating strings.",끈 이론,"끈 이론은 기본 입자가 실제로 1차원 진동하는 끈이라고 가정한다.",弦理論,"弦理論は基本粒子が実際には一次元の振動する弦であると仮定する。",弦理论,"弦理论假设基本粒子实际上是一维振动的弦。",teoría de cuerdas,"La teoría de cuerdas postula que las partículas fundamentales son en realidad cuerdas vibrantes unidimensionales.",lý thuyết dây,"Lý thuyết dây cho rằng các hạt cơ bản thực chất là các dây dao động một chiều.",ทฤษฎีสตริง,"ทฤษฎีสตริงตั้งสมมติฐานว่าอนุภาคพื้นฐานเป็นสายสั่นสะเทือนหนึ่งมิติ",teori string,"Teori string berpendapat bahwa partikel fundamental sebenarnya adalah string bergetar satu dimensi."
Bose-Einstein condensate,"A Bose-Einstein condensate forms when atoms are cooled to near absolute zero and merge into a single quantum state.",보스-아인슈타인 응축,"보스-아인슈타인 응축은 원자가 절대영도 근처로 냉각되어 하나의 양자 상태로 합쳐질 때 형성된다.",ボース・アインシュタイン凝縮,"ボース・アインシュタイン凝縮は原子が絶対零度近くまで冷却され単一の量子状態に融合するときに形成される。",玻色-爱因斯坦凝聚体,"玻色-爱因斯坦凝聚体在原子被冷却到接近绝对零度并合并为单一量子态时形成。",condensado de Bose-Einstein,"Un condensado de Bose-Einstein se forma cuando los átomos se enfrían hasta cerca del cero absoluto y se fusionan en un solo estado cuántico.",ngưng tụ Bose-Einstein,"Ngưng tụ Bose-Einstein hình thành khi các nguyên tử được làm lạnh đến gần độ không tuyệt đối và hợp nhất thành một trạng thái lượng tử duy nhất.",สถานะควบแน่นโบส-ไอน์สไตน์,"สถานะควบแน่นโบส-ไอน์สไตน์เกิดขึ้นเมื่ออะตอมถูกทำให้เย็นลงจนใกล้ศูนย์สัมบูรณ์และรวมเป็นสถานะควอนตัมเดียว",kondensat Bose-Einstein,"Kondensat Bose-Einstein terbentuk ketika atom didinginkan hingga mendekati nol mutlak dan bergabung menjadi satu keadaan kuantum tunggal."
irredentism,"Irredentism fueled the nationalist movement's demand to reclaim historically contested territories.",영토회복주의,"영토회복주의는 역사적으로 분쟁이 있는 영토를 되찾으려는 민족주의 운동의 요구를 부추겼다.",イレデンティズム,"イレデンティズムは歴史的に争われてきた領土を取り戻す民族主義運動の要求を煽った。",领土收复主义,"领土收复主义助长了民族主义运动收回历史争议领土的要求。",irredentismo,"El irredentismo alimentó la demanda del movimiento nacionalista de reclamar territorios históricamente disputados.",chủ nghĩa phục thổ,"Chủ nghĩa phục thổ đã thúc đẩy yêu cầu của phong trào dân tộc chủ nghĩa nhằm thu hồi các vùng lãnh thổ tranh chấp lịch sử.",ลัทธิดินแดนนิยม,"ลัทธิดินแดนนิยมเป็นเชื้อเพลิงให้กับข้อเรียกร้องของขบวนการชาตินิยมในการเรียกคืนดินแดนที่เป็นข้อพิพาททางประวัติศาสตร์",iredentisme,"Iredentisme memicu tuntutan gerakan nasionalis untuk merebut kembali wilayah yang secara historis dipersengketakan."
compliance officer,"The compliance officer ensured all transactions adhered to anti-money laundering regulations.",준법감시인,"준법감시인은 모든 거래가 자금세탁 방지 규정을 준수하도록 보장했다.",コンプライアンスオフィサー,"コンプライアンスオフィサーは全ての取引がマネーロンダリング防止規制を遵守するよう確認した。",合规官,"合规官确保所有交易遵守反洗钱法规。",oficial de cumplimiento,"El oficial de cumplimiento aseguró que todas las transacciones cumplieran con las regulaciones contra el lavado de dinero.",cán bộ tuân thủ,"Cán bộ tuân thủ đảm bảo tất cả giao dịch tuân thủ các quy định chống rửa tiền.",เจ้าหน้าที่ฝ่ายกำกับดูแล,"เจ้าหน้าที่ฝ่ายกำกับดูแลรับรองว่าธุรกรรมทั้งหมดปฏิบัติตามกฎระเบียบป้องกันการฟอกเงิน",petugas kepatuhan,"Petugas kepatuhan memastikan semua transaksi mematuhi peraturan anti pencucian uang."
