via,We traveled from Seoul to Busan via KTX.,~을 통해; ~경유,서울에서 부산까지 KTX를 통해 여행했어요.,~経由で; ~を通じて,ソウルからプサンまでKTXで移動した。,经由; 通过,我们乘KTX从首尔到了釜山。,vía; a través de,Viajamos de Seúl a Busan vía KTX.,qua; thông qua,Chúng tôi đi từ Seoul đến Busan qua KTX.,ผ่าน; โดยทาง,เราเดินทางจากโซลไปปูซานผ่าน KTX,melalui; via,Kami bepergian dari Seoul ke Busan via KTX.
visible,The mountain is visible from here on clear days.,보이는; 가시적인,맑은 날 여기서 산이 보여요.,見える; 目に見える,晴れた日にはここから山が見える。,看得见的; 可见的,晴天时从这里可以看到那座山。,visible,La montaña es visible desde aquí en días despejados.,có thể nhìn thấy,Núi có thể nhìn thấy từ đây vào ngày trời trong.,มองเห็นได้,มองเห็นภูเขาจากที่นี่ได้ในวันที่อากาศแจ่มใส,terlihat; tampak,Gunung itu terlihat dari sini pada hari yang cerah.
vital,Regular exercise is vital for good health.,필수적인; 생명의,규칙적인 운동은 건강에 필수적이에요.,不可欠な; 極めて重要な,定期的な運動は健康にとって不可欠だ。,至关重要的,规律运动对健康至关重要。,vital; esencial,El ejercicio regular es vital para la buena salud.,sống còn; thiết yếu,Tập thể dục đều đặn rất thiết yếu cho sức khỏe.,สำคัญยิ่ง; จำเป็น,การออกกำลังกายเป็นประจำสำคัญยิ่งต่อสุขภาพที่ดี,vital; penting sekali,Olahraga teratur sangat penting untuk kesehatan yang baik.
voluntary,She does voluntary work at the hospital.,자발적인; 자원봉사의,그녀는 병원에서 자원봉사를 해요.,自発的な; ボランティアの,彼女は病院でボランティア活動をしている。,自愿的; 志愿的,她在医院做志愿工作。,voluntario,Ella hace trabajo voluntario en el hospital.,tình nguyện,Cô ấy làm công việc tình nguyện tại bệnh viện.,สมัครใจ; อาสา,เธอทำงานอาสาที่โรงพยาบาล,sukarela,Dia melakukan pekerjaan sukarela di rumah sakit.
zone,This is a no-parking zone.,구역; 지대,여기는 주차 금지 구역이에요.,ゾーン; 地帯,ここは駐車禁止ゾーンだ。,区域; 地带,这是禁停区域。,zona,Esta es una zona de estacionamiento prohibido.,vùng; khu vực,Đây là khu vực cấm đỗ xe.,เขต; โซน,ที่นี่เป็นเขตห้ามจอดรถ,zona; kawasan,Ini adalah zona dilarang parkir.
abolish,The country abolished slavery in the 19th century.,폐지하다,그 나라는 19세기에 노예제를 폐지했어요.,廃止する; 撤廃する,その国は19世紀に奴隷制を廃止した。,废除,这个国家在19世纪废除了奴隶制。,abolir,El país abolió la esclavitud en el siglo XIX.,bãi bỏ; xóa bỏ,Đất nước bãi bỏ chế độ nô lệ vào thế kỷ 19.,ยกเลิก; เลิก,ประเทศยกเลิกทาสในศตวรรษที่ 19,menghapuskan,Negara itu menghapuskan perbudakan pada abad ke-19.
abundant,Fresh fruit is abundant in tropical countries.,풍부한,열대 국가에서는 신선한 과일이 풍부해요.,豊富な,熱帯の国では新鮮な果物が豊富だ。,丰富的; 充足的,热带国家水果很丰富。,abundante,La fruta fresca es abundante en países tropicales.,dồi dào; phong phú,Trái cây tươi dồi dào ở các nước nhiệt đới.,อุดมสมบูรณ์,ผลไม้สดอุดมสมบูรณ์ในประเทศเขตร้อน,berlimpah; melimpah,Buah segar berlimpah di negara tropis.
accommodate,The hotel can accommodate up to 500 guests.,수용하다,호텔은 최대 500명의 손님을 수용할 수 있어요.,収容する; 宿泊させる,ホテルは最大500人の客を収容できる。,容纳; 接待,酒店最多可容纳500位客人。,alojar; acomodar,El hotel puede alojar hasta 500 huéspedes.,chứa; đáp ứng,Khách sạn có thể chứa tới 500 khách.,รองรับ; จัดให้,โรงแรมสามารถรองรับแขกได้ถึง 500 คน,menampung; mengakomodasi,Hotel ini dapat menampung hingga 500 tamu.
accumulate,Dust accumulates quickly on the shelves.,축적하다; 쌓이다,선반에 먼지가 빨리 쌓여요.,蓄積する; 溜まる,棚にはすぐにほこりが溜まる。,积累; 累积,架子上很快就会积灰。,acumularse,El polvo se acumula rápidamente en los estantes.,tích tụ; tích lũy,Bụi tích tụ nhanh trên kệ.,สะสม,ฝุ่นสะสมอย่างรวดเร็วบนชั้นวางของ,menumpuk; mengakumulasi,Debu cepat menumpuk di rak.
acknowledge,She acknowledged her mistake and apologized.,인정하다; 인식하다,그녀는 실수를 인정하고 사과했어요.,認める; 認識する,彼女は間違いを認めて謝罪した。,承认; 认可,她承认了错误并道歉了。,reconocer; admitir,Reconoció su error y se disculpó.,thừa nhận,Cô ấy thừa nhận sai lầm và xin lỗi.,ยอมรับ; รับรู้,เธอยอมรับความผิดพลาดและขอโทษ,mengakui,Dia mengakui kesalahannya dan meminta maaf.
adequate,The room was adequate for our meeting.,충분한; 적절한,그 방은 우리 회의에 적절했어요.,十分な; 適切な,その部屋は会議に十分だった。,足够的; 合适的,那个房间足够开会了。,adecuado; suficiente,La sala era adecuada para nuestra reunión.,đủ; thỏa đáng,Phòng đủ cho cuộc họp của chúng tôi.,เพียงพอ; เหมาะสม,ห้องนี้เพียงพอสำหรับการประชุมของเรา,memadai; cukup,Ruangan itu memadai untuk rapat kami.
aggression,The act of aggression was condemned by all nations.,공격; 침략,그 침략 행위는 모든 나라에 의해 비난받았어요.,攻撃; 侵略,その侵略行為は全ての国に非難された。,侵略; 攻击,这种侵略行为受到了所有国家的谴责。,agresión,El acto de agresión fue condenado por todas las naciones.,sự xâm lược; gây hấn,Hành động xâm lược bị tất cả các nước lên án.,การรุกราน,การรุกรานนั้นถูกประณามจากทุกประเทศ,agresi,Tindakan agresi itu dikecam oleh semua negara.
alliance,The two countries formed a military alliance.,동맹,두 나라가 군사 동맹을 맺었어요.,同盟; 提携,二つの国が軍事同盟を結んだ。,联盟; 同盟,两国结成了军事联盟。,alianza,Los dos países formaron una alianza militar.,liên minh,Hai nước thành lập liên minh quân sự.,พันธมิตร,สองประเทศจัดตั้งพันธมิตรทางทหาร,aliansi; persekutuan,Kedua negara membentuk aliansi militer.
alter,The dress was altered to fit her perfectly.,변경하다; 수선하다,드레스가 완벽하게 맞도록 수선되었어요.,変更する; 修正する,ドレスが彼女にぴったり合うように修正された。,修改; 改变,裙子被改了以完美适合她。,alterar; modificar,El vestido fue alterado para que le quedara perfecto.,sửa đổi; thay đổi,Chiếc váy được sửa cho vừa vặn.,เปลี่ยนแปลง; แก้ไข,ชุดถูกแก้ไขให้พอดีกับเธอ,mengubah; mengubahsuaikan,Gaun itu diubah agar pas untuknya.
ambiguous,The contract language is ambiguous.,모호한; 애매한,계약 문구가 모호해요.,曖昧な; あいまいな,契約の文言が曖昧だ。,模棱两可的; 含糊的,合同的措辞含糊不清。,ambiguo,El lenguaje del contrato es ambiguo.,mơ hồ; nhập nhằng,Ngôn ngữ hợp đồng mơ hồ.,คลุมเครือ; กำกวม,ภาษาในสัญญาคลุมเครือ,ambigu; rancu,Bahasa kontrak itu ambigu.
amid,Amid the chaos she remained calm.,~가운데; ~속에,혼란 속에서 그녀는 침착하게 있었어요.,~の中で; ~の最中に,混乱の中で彼女は冷静を保った。,在...之中,在混乱之中她保持冷静。,en medio de,En medio del caos ella permaneció calmada.,giữa; trong lúc,Giữa hỗn loạn cô ấy vẫn bình tĩnh.,ท่ามกลาง,ท่ามกลางความโกลาหลเธอยังคงสงบ,di tengah,Di tengah kekacauan dia tetap tenang.
anticipate,We anticipate a rise in demand next quarter.,예상하다; 기대하다,다음 분기에 수요 증가를 예상해요.,予想する; 期待する,来四半期の需要増加を予想している。,预期; 预计,我们预计下个季度需求会增加。,anticipar; prever,Anticipamos un aumento en la demanda el próximo trimestre.,dự đoán; dự kiến,Chúng tôi dự kiến nhu cầu tăng quý tới.,คาดการณ์; คาดหวัง,เราคาดการณ์ว่าความต้องการจะเพิ่มขึ้นในไตรมาสหน้า,mengantisipasi; memperkirakan,Kami mengantisipasi kenaikan permintaan kuartal depan.
apparatus,The firefighters use special breathing apparatus.,장치; 기구,소방관들은 특수 호흡 장치를 사용해요.,装置; 器具,消防士は特殊な呼吸器を使う。,装置; 器具,消防员使用特殊的呼吸器。,aparato; equipo,Los bomberos usan un aparato de respiración especial.,thiết bị; dụng cụ,Lính cứu hỏa dùng thiết bị thở đặc biệt.,เครื่องมือ; อุปกรณ์,นักดับเพลิงใช้อุปกรณ์ช่วยหายใจพิเศษ,alat; peralatan,Petugas pemadam menggunakan alat pernapasan khusus.
appliance,Modern kitchen appliances save time and energy.,가전제품,현대 주방 가전제품은 시간과 에너지를 절약해요.,家電製品; 電気器具,現代のキッチン家電は時間とエネルギーを節約する。,电器; 家电,现代厨房电器省时省力。,electrodoméstico; aparato,Los electrodomésticos modernos ahorran tiempo y energía.,thiết bị gia dụng,Thiết bị nhà bếp hiện đại tiết kiệm thời gian.,เครื่องใช้ไฟฟ้า,เครื่องใช้ไฟฟ้าสมัยใหม่ช่วยประหยัดเวลาและพลังงาน,peralatan; alat rumah tangga,Peralatan dapur modern menghemat waktu dan energi.
arbitrary,The decision seemed completely arbitrary.,임의의; 자의적인,그 결정은 완전히 자의적으로 보였어요.,任意の; 恣意的な,その決定は完全に恣意的に見えた。,任意的; 武断的,这个决定看起来完全是任意的。,arbitrario,La decisión parecía completamente arbitraria.,tùy tiện; độc đoán,Quyết định có vẻ hoàn toàn tùy tiện.,พลการ; ไม่มีเหตุผล,การตัดสินใจดูเหมือนเป็นไปอย่างพลการ,sewenang-wenang; arbitrer,Keputusan itu tampak sepenuhnya sewenang-wenang.
array,The store has a wide array of products.,배열; 다양한,가게에는 다양한 제품이 있어요.,配列; 多数,その店には多数の製品がある。,一系列; 大量,这家店有各种各样的产品。,variedad; gama,La tienda tiene una amplia variedad de productos.,loạt; dãy,Cửa hàng có nhiều loại sản phẩm.,กลุ่ม; ชุด,ร้านมีสินค้าหลากหลาย,rangkaian; deretan,Toko itu memiliki beragam produk.
aspire,She aspires to become a famous writer.,열망하다; 포부를 가지다,그녀는 유명한 작가가 되기를 열망해요.,志す; 熱望する,彼女は有名な作家になることを志している。,渴望; 有志于,她渴望成为著名的作家。,aspirar,Ella aspira a convertirse en una escritora famosa.,khao khát; mong muốn,Cô ấy khao khát trở thành nhà văn nổi tiếng.,ปรารถนา; มุ่งหวัง,เธอปรารถนาที่จะเป็นนักเขียนชื่อดัง,bercita-cita; beraspirasi,Dia bercita-cita menjadi penulis terkenal.
autonomous,The region wants to become autonomous.,자율적인; 자치의,그 지역은 자치를 원해요.,自治の; 自律的な,その地域は自治を望んでいる。,自治的; 自主的,该地区想要自治。,autónomo,La región quiere volverse autónoma.,tự trị; tự chủ,Khu vực muốn trở nên tự trị.,เป็นอิสระ; ปกครองตนเอง,ภูมิภาคต้องการเป็นเอกราช,otonom; mandiri,Wilayah itu ingin menjadi otonom.
breakthrough,Scientists made a major breakthrough in cancer research.,획기적 발전; 돌파구,과학자들이 암 연구에서 큰 돌파구를 마련했어요.,画期的進歩; ブレイクスルー,科学者が癌研究で大きな進歩を遂げた。,突破; 重大发现,科学家在癌症研究方面取得了重大突破。,avance; descubrimiento,Los científicos hicieron un gran avance en la investigación del cáncer.,bước đột phá,Các nhà khoa học đạt bước đột phá lớn trong nghiên cứu ung thư.,ความก้าวหน้าครั้งสำคัญ,นักวิทยาศาสตร์ประสบความก้าวหน้าครั้งสำคัญในการวิจัยมะเร็ง,terobosan,Para ilmuwan membuat terobosan besar dalam penelitian kanker.
cite,The professor cited several examples.,인용하다; 언급하다,교수가 몇 가지 예를 인용했어요.,引用する; 挙げる,教授がいくつかの例を引用した。,引用; 举例,教授引用了几个例子。,citar,El profesor citó varios ejemplos.,trích dẫn; nêu,Giáo sư trích dẫn nhiều ví dụ.,อ้างอิง; กล่าวถึง,ศาสตราจารย์อ้างอิงตัวอย่างหลายข้อ,mengutip; menyebutkan,Profesor mengutip beberapa contoh.
coherent,She gave a coherent and logical explanation.,일관된; 조리 있는,그녀는 일관되고 논리적인 설명을 했어요.,一貫した; 論理的な,彼女は一貫した論理的な説明をした。,连贯的; 一致的,她给出了一个连贯合理的解释。,coherente,Dio una explicación coherente y lógica.,mạch lạc; chặt chẽ,Cô ấy giải thích mạch lạc và logic.,สอดคล้อง; เป็นเหตุเป็นผล,เธอให้คำอธิบายที่สอดคล้องและมีเหตุผล,koheren; logis,Dia memberikan penjelasan yang koheren dan logis.
coincide,The festival coincides with the school holiday.,일치하다; 동시에 일어나다,축제가 학교 방학과 겹쳐요.,一致する; 重なる,祭りが学校の休暇と重なる。,恰巧同时; 一致,节日正好和学校假期重合。,coincidir,El festival coincide con las vacaciones escolares.,trùng; trùng khớp,Lễ hội trùng với kỳ nghỉ học.,ตรงกัน; เกิดขึ้นพร้อมกัน,เทศกาลตรงกับวันหยุดของโรงเรียน,bertepatan; bersamaan,Festival bertepatan dengan liburan sekolah.
compact,The apartment is small but compact and well-designed.,소형의; 밀집한,아파트는 작지만 컴팩트하고 잘 설계되었어요.,コンパクトな; 小型の,アパートは小さいがコンパクトで設計が良い。,紧凑的; 小巧的,公寓虽小但紧凑且设计合理。,compacto,El apartamento es pequeño pero compacto y bien diseñado.,nhỏ gọn,Căn hộ nhỏ nhưng gọn gàng và thiết kế tốt.,กะทัดรัด; ขนาดเล็ก,อพาร์ทเมนต์เล็กแต่กะทัดรัดและออกแบบดี,kompak; ringkas,Apartemen kecil tapi kompak dan dirancang dengan baik.
compelling,The book tells a compelling story.,설득력 있는; 흥미진진한,그 책은 흥미진진한 이야기를 들려줘요.,説得力のある; 魅力的な,その本は説得力のある物語を語っている。,引人注目的; 令人信服的,这本书讲了一个引人入胜的故事。,convincente; atractivo,El libro cuenta una historia convincente.,hấp dẫn; thuyết phục,Cuốn sách kể một câu chuyện hấp dẫn.,น่าสนใจ; น่าเชื่อถือ,หนังสือเล่มนี้เล่าเรื่องที่น่าสนใจ,menarik; meyakinkan,Buku itu menceritakan kisah yang menarik.
complement,The wine complements the meal perfectly.,보완하다; 보충,와인이 식사를 완벽하게 보완해요.,補完する; 引き立てる,ワインが食事を完璧に引き立てる。,补充; 搭配,这款酒与这顿饭完美搭配。,complementar,El vino complementa la comida perfectamente.,bổ sung; phối hợp,Rượu bổ sung hoàn hảo cho bữa ăn.,เสริม; ส่งเสริม,ไวน์เสริมอาหารได้อย่างลงตัว,melengkapi,Anggur melengkapi hidangan dengan sempurna.
concrete,We need concrete evidence to proceed.,구체적인; 콘크리트,진행하려면 구체적인 증거가 필요해요.,具体的な; コンクリート,進めるには具体的な証拠が必要だ。,具体的; 混凝土,我们需要具体的证据才能继续。,concreto,Necesitamos evidencia concreta para proceder.,cụ thể; bê tông,Chúng tôi cần bằng chứng cụ thể để tiến hành.,เป็นรูปธรรม; คอนกรีต,เราต้องการหลักฐานที่เป็นรูปธรรมเพื่อดำเนินการต่อ,konkret; nyata,Kami membutuhkan bukti konkret untuk melanjutkan.
constitute,Women constitute 60 percent of the workforce.,구성하다; 이루다,여성이 노동력의 60%를 구성해요.,構成する; 占める,女性が労働力の60%を占めている。,构成; 组成,女性占劳动力的百分之六十。,constituir; formar,Las mujeres constituyen el 60 por ciento de la fuerza laboral.,chiếm; cấu thành,Phụ nữ chiếm 60% lực lượng lao động.,ประกอบเป็น; เป็นส่วนหนึ่ง,ผู้หญิงคิดเป็นร้อยละ 60 ของกำลังแรงงาน,membentuk; merupakan,Perempuan merupakan 60 persen dari tenaga kerja.
consult,You should consult a doctor about your symptoms.,상담하다; 자문하다,증상에 대해 의사와 상담해야 해요.,相談する; 診察を受ける,症状について医者に相談すべきだ。,咨询; 请教,你应该就你的症状咨询医生。,consultar,Deberías consultar a un doctor sobre tus síntomas.,tham khảo; tư vấn,Bạn nên tham khảo bác sĩ về triệu chứng.,ปรึกษา,คุณควรปรึกษาแพทย์เกี่ยวกับอาการของคุณ,berkonsultasi,Anda harus berkonsultasi dengan dokter tentang gejala Anda.
contemplate,She contemplated moving to another country.,심사숙고하다; 생각하다,그녀는 다른 나라로 이주하는 것을 심사숙고했어요.,熟考する; 考慮する,彼女は他の国に移住することを熟考した。,沉思; 考虑,她考虑搬到另一个国家。,contemplar; considerar,Contempló mudarse a otro país.,suy ngẫm; cân nhắc,Cô ấy cân nhắc chuyển đến nước khác.,พิจารณา; ไตร่ตรอง,เธอพิจารณาย้ายไปประเทศอื่น,merenungkan; mempertimbangkan,Dia merenungkan untuk pindah ke negara lain.
context,You need to understand the context of the conversation.,맥락; 상황,대화의 맥락을 이해해야 해요.,文脈; コンテキスト,会話の文脈を理解する必要がある。,背景; 语境,你需要理解对话的背景。,contexto,Necesitas entender el contexto de la conversación.,bối cảnh; ngữ cảnh,Bạn cần hiểu bối cảnh của cuộc trò chuyện.,บริบท; สถานการณ์,คุณต้องเข้าใจบริบทของการสนทนา,konteks,Anda perlu memahami konteks percakapan.
