deterritorialization,"Deterritorialization describes how cultural practices become detached from their places of origin.",탈영토화,탈영토화는 문화적 관행이 원래 장소에서 분리되는 방식을 기술한다.,脱領土化,脱領土化は文化的実践がその起源の場所から切り離される方法を記述する。,解域化,解域化描述了文化实践如何从其起源地脱离。,desterritorialización,La desterritorialización describe cómo las prácticas culturales se desprenden de sus lugares de origen.,giải lãnh thổ hóa,Giải lãnh thổ hóa mô tả cách các thực hành văn hóa tách khỏi nơi xuất xứ.,การปลดพื้นที่,การปลดพื้นที่อธิบายว่าแนวปฏิบัติทางวัฒนธรรมแยกออกจากถิ่นกำเนิดอย่างไร,deteritorialisasi,Deteritorialisasi menggambarkan bagaimana praktik budaya menjadi terlepas dari tempat asalnya.
velocity of money,"The velocity of money measures how frequently currency circulates through the economy.",화폐 유통속도,화폐 유통속도는 화폐가 경제에서 얼마나 자주 순환하는지를 측정한다.,貨幣の流通速度,貨幣の流通速度は通貨が経済の中をどれほど頻繁に循環するかを測定する。,货币流通速度,货币流通速度衡量货币在经济中流通的频率。,velocidad del dinero,La velocidad del dinero mide con qué frecuencia circula la moneda a través de la economía.,vận tốc lưu thông tiền tệ,Vận tốc lưu thông tiền tệ đo lường mức độ thường xuyên tiền tệ luân chuyển trong nền kinh tế.,อัตราเร็วของเงิน,อัตราเร็วของเงินวัดว่าสกุลเงินหมุนเวียนผ่านเศรษฐกิจบ่อยเพียงใด,kecepatan uang,Kecepatan uang mengukur seberapa sering mata uang beredar melalui ekonomi.
ontological,"Ontological inquiry investigates the fundamental nature of being and existence.",존재론적,존재론적 탐구는 존재의 근본적 본질을 조사한다.,存在論的,存在論的探究は存在の根本的な本質を究明する。,本体论的,本体论探究研究存在的根本本质。,ontológico,La indagación ontológica investiga la naturaleza fundamental del ser y la existencia.,bản thể luận,Nghiên cứu bản thể luận điều tra bản chất cơ bản của tồn tại.,ภววิทยา,การสืบค้นทางภววิทยาตรวจสอบธรรมชาติพื้นฐานของความเป็นและการดำรงอยู่,ontologis,Penyelidikan ontologis menginvestigasi sifat fundamental dari keberadaan dan eksistensi.
pharmacodynamics,"Pharmacodynamics explains the biochemical and physiological effects of drugs on the body.",약력학,"약력학은 약물이 신체에 미치는 생화학적·생리학적 효과를 설명한다.",薬力学,"薬力学は薬物が体に及ぼす生化学的・生理学的効果を説明する。",药效动力学,"药效动力学解释药物对人体的生化和生理效应。",farmacodinámica,"La farmacodinámica explica los efectos bioquímicos y fisiológicos de los fármacos en el cuerpo.",dược lực học,"Dược lực học giải thích các tác dụng sinh hóa và sinh lý của thuốc lên cơ thể.",เภสัชพลศาสตร์,"เภสัชพลศาสตร์อธิบายผลทางชีวเคมีและสรีรวิทยาของยาต่อร่างกาย",farmakodinamika,"Farmakodinamika menjelaskan efek biokimia dan fisiologis obat pada tubuh."
antagonist,"The drug acts as a receptor antagonist to block pain signaling pathways.",길항제,"그 약물은 수용체 길항제로 작용하여 통증 신호 전달 경로를 차단한다.",アンタゴニスト,"その薬物は受容体アンタゴニストとして作用し痛みのシグナル伝達経路を遮断する。",拮抗剂,"该药物作为受体拮抗剂阻断疼痛信号通路。",antagonista,"El fármaco actúa como antagonista del receptor para bloquear las vías de señalización del dolor.",chất đối kháng,"Thuốc hoạt động như chất đối kháng thụ thể để chặn đường truyền tín hiệu đau.",ตัวต้าน,"ยาทำหน้าที่เป็นตัวต้านตัวรับเพื่อปิดกั้นวิถีสัญญาณความเจ็บปวด",antagonis,"Obat tersebut bertindak sebagai antagonis reseptor untuk memblokir jalur sinyal nyeri."
metabolite,"The active metabolite exhibited a longer half-life than the parent compound.",대사산물,"활성 대사산물은 모화합물보다 더 긴 반감기를 나타냈다.",代謝物,"活性代謝物は親化合物より長い半減期を示した。",代谢物,"活性代谢物的半衰期比母体化合物更长。",metabolito,"El metabolito activo exhibió una vida media más larga que el compuesto original.",chất chuyển hóa,"Chất chuyển hóa hoạt tính có thời gian bán hủy dài hơn hợp chất gốc.",สารเมแทบอไลต์,"สารเมแทบอไลต์ที่ออกฤทธิ์มีค่าครึ่งชีวิตนานกว่าสารประกอบตั้งต้น",metabolit,"Metabolit aktif menunjukkan waktu paruh yang lebih lama daripada senyawa induk."
excipient,"The choice of excipient can dramatically affect tablet dissolution rates.",부형제,"부형제의 선택은 정제 용해 속도에 극적인 영향을 줄 수 있다.",添加剤,"添加剤の選択は錠剤の溶解速度に劇的な影響を与え得る。",辅料,"辅料的选择可以显著影响片剂的溶出速率。",excipiente,"La elección del excipiente puede afectar drásticamente las tasas de disolución de la tableta.",tá dược,"Việc lựa chọn tá dược có thể ảnh hưởng đáng kể đến tốc độ hòa tan của viên thuốc.",สารเพิ่มปริมาณ,"การเลือกสารเพิ่มปริมาณส่งผลอย่างมากต่ออัตราการละลายของยาเม็ด",eksipien,"Pilihan eksipien dapat secara dramatis mempengaruhi tingkat disolusi tablet."
teratogenic,"Thalidomide's teratogenic effects led to stricter pharmaceutical regulations worldwide.",기형유발성,"탈리도마이드의 기형유발성 효과는 전 세계적으로 더 엄격한 제약 규제를 초래했다.",催奇形性,"サリドマイドの催奇形性の影響は世界的に厳格な医薬品規制をもたらした。",致畸性,"沙利度胺的致畸性导致了全球更严格的药品监管。",teratogénico,"Los efectos teratogénicos de la talidomida llevaron a regulaciones farmacéuticas más estrictas en todo el mundo.",gây quái thai,"Tác dụng gây quái thai của thalidomide đã dẫn đến quy định dược phẩm nghiêm ngặt hơn trên toàn thế giới.",ก่อวิรูป,"ผลก่อวิรูปของทาลิโดไมด์นำไปสู่กฎระเบียบทางเภสัชกรรมที่เข้มงวดขึ้นทั่วโลก",teratogenik,"Efek teratogenik thalidomide menyebabkan regulasi farmasi yang lebih ketat di seluruh dunia."
synergism,"The synergism between the two antibiotics proved more effective than either alone.",상승작용,"두 항생제 간의 상승작용은 각각 단독보다 더 효과적임이 입증되었다.",相乗作用,"2つの抗生物質の相乗作用はどちらか単独よりも効果的であることが証明された。",协同作用,"两种抗生素之间的协同作用被证明比单独使用更有效。",sinergismo,"El sinergismo entre los dos antibióticos resultó más eficaz que cualquiera por separado.",hiệp đồng,"Tác dụng hiệp đồng giữa hai loại kháng sinh hiệu quả hơn khi dùng riêng lẻ.",การเสริมฤทธิ์,"การเสริมฤทธิ์ระหว่างยาปฏิชีวนะสองชนิดพิสูจน์แล้วว่ามีประสิทธิภาพมากกว่าการใช้ตัวใดตัวหนึ่งเพียงลำพัง",sinergisme,"Sinergisme antara dua antibiotik terbukti lebih efektif daripada masing-masing secara sendiri."
nephrotoxicity,"Aminoglycosides require careful monitoring due to their potential nephrotoxicity.",신독성,"아미노글리코사이드는 잠재적 신독성으로 인해 신중한 모니터링이 필요하다.",腎毒性,"アミノグリコシドはその潜在的な腎毒性のため慎重なモニタリングが必要である。",肾毒性,"氨基糖苷类药物因潜在肾毒性需要仔细监测。",nefrotoxicidad,"Los aminoglucósidos requieren monitoreo cuidadoso debido a su potencial nefrotoxicidad.",độc tính thận,"Aminoglycoside cần theo dõi cẩn thận do khả năng gây độc tính thận.",ความเป็นพิษต่อไต,"อะมิโนไกลโคไซด์ต้องการการติดตามอย่างระมัดระวังเนื่องจากความเป็นพิษต่อไต",nefrotoksisitas,"Aminoglikosida memerlukan pemantauan cermat karena potensi nefrotoksisitasnya."
tachyphylaxis,"Repeated nasal decongestant use can cause tachyphylaxis within days.",빈속내성,"비충혈제거제의 반복 사용은 며칠 내에 빈속내성을 유발할 수 있다.",タキフィラキシー,"点鼻薬の反復使用は数日以内にタキフィラキシーを引き起こし得る。",快速耐受,"反复使用鼻充血减轻剂可在数天内导致快速耐受。",taquifilaxia,"El uso repetido de descongestionantes nasales puede causar taquifilaxia en pocos días.",quen thuốc nhanh,"Sử dụng thuốc thông mũi liên tục có thể gây quen thuốc nhanh trong vài ngày.",การดื้อยาอย่างรวดเร็ว,"การใช้ยาลดอาการคัดจมูกซ้ำๆ อาจทำให้เกิดการดื้อยาอย่างรวดเร็วภายในไม่กี่วัน",takifilaksis,"Penggunaan dekongestan hidung berulang dapat menyebabkan takifilaksis dalam hitungan hari."
