coordinate,We need to coordinate our schedules to find a meeting time that works for everyone.,조정하다,우리는 모두에게 맞는 회의 시간을 찾기 위해 일정을 조정할 필요가 있다.,調整する,全員に都合の良い会議時間を見つけるためにスケジュールを調整する必要がある。,协调,我们需要协调日程以找到适合每个人的会议时间。,coordinar,Necesitamos coordinar nuestros horarios para encontrar una hora de reunión que funcione para todos.,phối hợp,Chúng ta cần phối hợp lịch trình để tìm thời gian họp phù hợp cho mọi người.,ประสานงาน,เราต้องประสานตารางเวลาเพื่อหาเวลาประชุมที่เหมาะกับทุกคน,mengoordinasikan,Kita perlu mengoordinasikan jadwal untuk menemukan waktu rapat yang cocok untuk semua.
compile,The intern will compile all sales data from the past quarter into a single spreadsheet.,편집하다,인턴이 지난 분기의 모든 판매 데이터를 하나의 스프레드시트로 편집할 것이다.,まとめる,インターンは過去四半期のすべての売上データを一つのスプレッドシートにまとめる予定だ。,汇编,实习生将把上一季度的所有销售数据汇编到一个电子表格中。,compilar,El pasante compilará todos los datos de ventas del último trimestre en una sola hoja de cálculo.,biên soạn,Thực tập sinh sẽ biên soạn tất cả dữ liệu bán hàng quý trước vào một bảng tính duy nhất.,รวบรวม,นักศึกษาฝึกงานจะรวบรวมข้อมูลการขายไตรมาสที่แล้วทั้งหมดลงในสเปรดชีตเดียว,mengompilasi,Magang akan mengompilasi semua data penjualan kuartal lalu ke dalam satu spreadsheet.
supervise,The senior manager will supervise the new training program for incoming graduates.,감독하다,수석 관리자가 신입 졸업생을 위한 새 교육 프로그램을 감독할 것이다.,監督する,シニアマネージャーが新卒者向けの新しい研修プログラムを監督する予定だ。,监督,高级经理将监督面向应届毕业生的新培训项目。,supervisar,El gerente senior supervisará el nuevo programa de formación para los recién graduados.,giám sát,Quản lý cấp cao sẽ giám sát chương trình đào tạo mới dành cho sinh viên mới ra trường.,กำกับดูแล,ผู้จัดการอาวุโสจะกำกับดูแลโปรแกรมฝึกอบรมใหม่สำหรับบัณฑิตจบใหม่,mengawasi,Manajer senior akan mengawasi program pelatihan baru untuk lulusan baru.
collaborate,The two departments collaborate closely on quarterly product launches to ensure smooth coordination.,협업하다,두 부서는 원활한 협력을 위해 분기별 제품 출시에 긴밀히 협업한다.,協業する,二つの部署は円滑な連携のために四半期ごとの製品発売に密接に協業する。,合作,两个部门在每季度产品发布上紧密合作以确保协调顺畅。,colaborar,Los dos departamentos colaboran estrechamente en los lanzamientos trimestrales de productos para asegurar una coordinación fluida.,hợp tác,Hai phòng ban hợp tác chặt chẽ trong các đợt ra mắt sản phẩm hàng quý để đảm bảo phối hợp suôn sẻ.,ร่วมมือ,สองแผนกร่วมมือกันอย่างใกล้ชิดในการเปิดตัวผลิตภัณฑ์รายไตรมาสเพื่อให้ประสานงานราบรื่น,berkolaborasi,Kedua departemen berkolaborasi erat dalam peluncuran produk triwulanan untuk memastikan koordinasi mulus.
negotiate,The CEO will negotiate the merger terms directly with the board chairman next week.,협상하다,CEO는 다음 주에 이사회 의장과 직접 합병 조건을 협상할 것이다.,交渉する,CEOは来週、取締役会長と直接合併条件を交渉する予定だ。,谈判,首席执行官将于下周直接与董事会主席谈判合并条款。,negociar,El CEO negociará los términos de la fusión directamente con el presidente del consejo la próxima semana.,đàm phán,CEO sẽ đàm phán các điều khoản sáp nhập trực tiếp với chủ tịch hội đồng vào tuần tới.,เจรจา,ซีอีโอจะเจรจาเงื่อนไขการควบรวมโดยตรงกับประธานกรรมการในสัปดาห์หน้า,merundingkan,CEO akan merundingkan persyaratan merger langsung dengan ketua dewan minggu depan.
delegate,A good leader knows when to delegate tasks to capable team members instead of doing everything alone.,위임하다,훌륭한 리더는 모든 것을 혼자 하는 대신 유능한 팀원에게 업무를 위임할 시기를 안다.,委任する,優れたリーダーはすべてを一人でやる代わりに有能なチームメンバーに業務を委任する時を心得ている。,委派,优秀的领导者知道何时将任务委派给能干的团队成员而不是事事亲为。,delegar,Un buen líder sabe cuándo delegar tareas a miembros capaces del equipo en lugar de hacer todo solo.,ủy thác,Một nhà lãnh đạo giỏi biết khi nào nên ủy thác công việc cho các thành viên có năng lực thay vì làm tất cả một mình.,มอบหมาย,ผู้นำที่ดีรู้ว่าเมื่อใดควรมอบหมายงานให้สมาชิกทีมที่สามารถได้แทนที่จะทำทุกอย่างคนเดียว,mendelegasikan,Pemimpin yang baik tahu kapan harus mendelegasikan tugas kepada anggota tim yang mampu daripada melakukan semuanya sendiri.
propose,The committee will propose a new policy to address employee burnout at the next general meeting.,제안하다,위원회는 다음 총회에서 직원 번아웃 문제를 해결할 새로운 정책을 제안할 것이다.,提案する,委員会は次回の総会で従業員のバーンアウト問題に対処するための新しい政策を提案する予定だ。,提议,委员会将在下次股东大会上提议一项新政策以解决员工倦怠问题。,proponer,El comité propondrá una nueva política para abordar el agotamiento de los empleados en la próxima asamblea general.,đề xuất,Ủy ban sẽ đề xuất một chính sách mới để giải quyết tình trạng kiệt sức của nhân viên tại cuộc họp đại hội tới.,เสนอ,คณะกรรมการจะเสนอนโยบายใหม่เพื่อจัดการปัญหาภาวะหมดไฟของพนักงานในการประชุมใหญ่ครั้งต่อไป,mengusulkan,Komite akan mengusulkan kebijakan baru untuk mengatasi kelelahan karyawan pada rapat umum berikutnya.
endorse,The famous athlete agreed to endorse the new sportswear brand in a multi-year contract.,지지하다,그 유명한 운동선수는 다년 계약으로 새 스포츠웨어 브랜드를 지지하기로 동의했다.,支持する,その有名な選手は複数年契約で新しいスポーツウェアブランドを支持することに同意した。,代言,这位著名运动员同意通过多年合同为新运动服品牌代言。,respaldar,El famoso atleta aceptó respaldar la nueva marca de ropa deportiva en un contrato de varios años.,ủng hộ,Vận động viên nổi tiếng đã đồng ý ủng hộ thương hiệu đồ thể thao mới trong hợp đồng nhiều năm.,รับรอง,นักกีฬาชื่อดังตกลงรับรองแบรนด์เสื้อผ้ากีฬาใหม่ในสัญญาหลายปี,mendukung,Atlet terkenal itu setuju mendukung merek pakaian olahraga baru dalam kontrak multi-tahun.
authorize,Only the finance director can authorize expenses above ten thousand dollars without additional approval.,승인하다,재무 이사만이 추가 승인 없이 만 달러 이상의 지출을 승인할 수 있다.,承認する,財務責任者のみが追加の承認なしに一万ドルを超える支出を承認することができる。,授权,只有财务总监才能授权一万美元以上的支出而无需额外批准。,autorizar,Solo el director financiero puede autorizar gastos superiores a diez mil dólares sin aprobación adicional.,cấp phép,Chỉ có giám đốc tài chính mới có thể cấp phép các khoản chi vượt mười nghìn đô la mà không cần phê duyệt bổ sung.,อนุมัติการเงิน,เฉพาะผู้อำนวยการการเงินเท่านั้นที่สามารถอนุมัติการเงินค่าใช้จ่ายเกินหนึ่งหมื่นดอลลาร์โดยไม่ต้องขอการอนุมัติเพิ่มเติม,mengotorisasi,Hanya direktur keuangan yang dapat mengotorisasi pengeluaran di atas sepuluh ribu dolar tanpa persetujuan tambahan.
approve,The board will approve the budget for next year during their meeting on Friday afternoon.,승인하다,이사회는 금요일 오후 회의에서 내년 예산을 승인할 것이다.,承認する,取締役会は金曜日の午後の会議で来年の予算を承認する予定だ。,批准,董事会将在周五下午的会议上批准明年的预算。,aprobar,La junta aprobará el presupuesto para el próximo año durante su reunión del viernes por la tarde.,phê duyệt,Hội đồng quản trị sẽ phê duyệt ngân sách năm sau trong cuộc họp chiều thứ Sáu.,อนุมัติ,คณะกรรมการจะอนุมัติงบประมาณปีหน้าในการประชุมบ่ายวันศุกร์,menyetujui,Dewan akan menyetujui anggaran untuk tahun depan pada rapat Jumat sore.
console,She tried to console her friend after the disappointing job rejection from her dream company.,위로하다,그녀는 꿈에 그리던 회사로부터 실망스러운 채용 거절을 받은 후 친구를 위로하려 했다.,慰める,彼女は理想の会社から残念な不採用通知を受けた後の友人を慰めようとした。,安慰,在朋友收到梦想公司令人失望的拒信后她试图安慰朋友。,consolar,Trató de consolar a su amiga después del decepcionante rechazo laboral de la empresa de sus sueños.,an ủi,Cô ấy đã cố gắng an ủi bạn mình sau khi nhận được lời từ chối việc làm đáng thất vọng từ công ty mơ ước.,ปลอบใจ,เธอพยายามปลอบใจเพื่อนหลังจากที่ถูกบริษัทในฝันปฏิเสธรับเข้าทำงานอย่างน่าผิดหวัง,menghibur,Dia berusaha menghibur temannya setelah mendapat penolakan kerja yang mengecewakan dari perusahaan impiannya.
apologize,The manager had to apologize publicly for the misleading product advertisement aired last weekend.,사과하다,매니저는 지난 주말에 방송된 오해의 소지가 있는 제품 광고에 대해 공개적으로 사과해야 했다.,謝罪する,マネージャーは先週末に放映された誤解を招く商品広告について公に謝罪しなければならなかった。,道歉,经理不得不为上周末播出的误导性产品广告公开道歉。,disculparse,El gerente tuvo que disculparse públicamente por el anuncio engañoso del producto emitido el pasado fin de semana.,xin lỗi,Người quản lý đã phải công khai xin lỗi về quảng cáo sản phẩm gây hiểu nhầm phát sóng cuối tuần trước.,ขอโทษ,ผู้จัดการต้องขอโทษต่อสาธารณะสำหรับโฆษณาผลิตภัณฑ์ที่ทำให้เข้าใจผิดซึ่งออกอากาศเมื่อสุดสัปดาห์ที่แล้ว,meminta maaf,Manajer harus meminta maaf secara publik atas iklan produk yang menyesatkan yang ditayangkan akhir pekan lalu.
compliment,Her boss took the time to compliment her thorough analysis during the team meeting this morning.,칭찬하다,그녀의 상사는 오늘 아침 팀 회의에서 그녀의 철저한 분석을 칭찬하는 시간을 가졌다.,褒める,彼女の上司は今朝のチームミーティングで彼女の徹底した分析を褒める時間を取った。,称赞,她的老板在今早的团队会议上花时间称赞了她全面的分析。,elogiar,Su jefe se tomó el tiempo para elogiar su análisis exhaustivo durante la reunión de equipo de esta mañana.,khen ngợi,Sếp của cô ấy đã dành thời gian khen ngợi phân tích kỹ lưỡng của cô trong cuộc họp nhóm sáng nay.,ชมเชย,หัวหน้าของเธอสละเวลาชมเชยการวิเคราะห์ที่ละเอียดของเธอในการประชุมทีมเช้านี้,memuji,Atasannya menyempatkan diri memuji analisis menyeluruhnya saat rapat tim pagi ini.
