korean,english,alt,situation,note,category
내일 내 대신 근무 좀 해줄 수 있어?,Can you do me a solid and cover my shift tomorrow?,Can you help me out and take my shift tomorrow?,친구에게 부탁할 때,do me a solid는 do me a favor보다 캐주얼. 친한 사이에서만,일상
늦어서 미안 금방 갈게,Sorry I'm running late. I'll be there in 10.,Sorry for the delay. I'm on my way.,약속에 늦을 때,I'm on my way = 지금 가는 중,일상
괜찮아 별거 아니야 신경 쓰지 마,No worries at all. It's no big deal.,Don't sweat it. It's totally fine.,사과 받을 때,No biggie도 같은 뜻. Don't sweat it은 더 캐주얼,일상
지금 일이 너무 많아서 정신이 없어,I'm completely swamped right now.,I'm buried in work at the moment.,일이 많을 때,swamped/buried 둘 다 busy보다 강한 표현,직장
야 그거 진짜야? 대박이다!,Are you serious? That's insane!,No way! That's amazing!,놀라운 소식 들었을 때,insane은 긍정적 놀라움으로도 많이 씀,일상
솔직히 말하면 별로인 것 같아,To be honest with you I don't think it's that great.,If I'm being real it's not my thing.,솔직한 의견 말할 때,TBH로 줄여서 문자로도 많이 씀,일상
어쩔 수 없지 뭐 받아들이는 수밖에,It is what it is. We just have to deal with it.,Nothing we can do about it. Let's just move on.,어쩔 수 없는 상황에서,미국인이 입에 달고 사는 표현,일상
진짜 공감돼 나도 그런 적 있어,I can totally relate to that. I've been there.,I know exactly what you mean. Same here.,공감할 때,I've been there = 나도 겪어봤어,일상
나는 아무거나 괜찮아 네가 골라,I'm easy. Whatever you want is fine with me.,I'm down for anything. Your call.,메뉴/장소 정할 때,I'm easy/I'm down for anything 둘 다 자연스러움,일상
티셔츠에 20만원은 좀 너무 하지 않아?,Two hundred bucks for a T-shirt? That's a bit much.,Don't you think $200 for a T-shirt is overkill?,가격이 과하다고 느낄 때,overkill = 과한/지나친,쇼핑
오늘 내가 쏠게 지갑 넣어,Today's on me. Put your wallet away.,I got this. Don't even think about paying.,밥/커피 사줄 때,It's on me / I got this / My treat 다 같은 뜻,식당
저기요 계산서 좀 주세요,Excuse me can I get the check please?,Could we get the bill when you get a chance?,식당에서 계산할 때,미국: check / 영국: bill,식당
각자 내자 오늘은,Let's just split the bill today.,Let's go halves on this.,각자 낼 때,Go Dutch는 요즘 잘 안 씀. split이 자연스러움,식당
양파 빼고 해주실 수 있나요?,Can I get this without onions please?,Could you hold the onions on this?,음식 재료 빼달라고 할 때,hold the onions = 양파 빼주세요 (캐주얼),식당
여기 처음인데 뭐가 맛있어요?,I've never been here before. What do you recommend?,What's good here? Any personal favorites?,식당에서 추천 물을 때,What's good here?가 가장 자연스러움,식당
아이스 아메리카노 큰 거 하나 포장이요,Can I get a large iced Americano to go?,I'll have a large iced Americano for takeout.,카페 주문,for here or to go? 에 대한 답,식당
