prescription glasses,He wears prescription glasses for reading.,도수 안경,그는 독서용 도수 안경을 써요.,処方メガネ; 度入り眼鏡,彼は読書用の度入り眼鏡をかけている。,近视眼镜; 处方眼镜,他戴处方眼镜看书。,lentes de prescripción; anteojos con graduación,Él usa lentes de prescripción para leer.,kính cận; kính theo toa,Anh ấy đeo kính cận để đọc sách.,แว่นสายตา,เขาสวมแว่นสายตาสำหรับอ่านหนังสือ,kacamata resep,Dia memakai kacamata resep untuk membaca.
contact lens,She prefers contact lenses over glasses.,콘택트렌즈,그녀는 안경보다 콘택트렌즈를 선호해요.,コンタクトレンズ,彼女はメガネよりコンタクトレンズを好む。,隐形眼镜,她更喜欢隐形眼镜。,lente de contacto,Ella prefiere lentes de contacto en vez de anteojos.,kính áp tròng,Cô ấy thích đeo kính áp tròng hơn kính gọng.,คอนแทคเลนส์,เธอชอบคอนแทคเลนส์มากกว่าแว่นตา,lensa kontak,Dia lebih suka lensa kontak daripada kacamata.
sneakers,I bought new sneakers for running.,운동화,달리기용 새 운동화를 샀어요.,スニーカー,ランニング用の新しいスニーカーを買った。,运动鞋,我买了新跑鞋。,tenis; zapatillas,Compré tenis nuevos para correr.,giày thể thao,Tôi mua đôi giày thể thao mới để chạy.,รองเท้าผ้าใบ,ฉันซื้อรองเท้าผ้าใบใหม่สำหรับวิ่ง,sepatu kets,Saya membeli sepatu kets baru untuk berlari.
sandals,She wears sandals in the summer.,샌들,그녀는 여름에 샌들을 신어요.,サンダル,彼女は夏にサンダルを履く。,凉鞋,她夏天穿凉鞋。,sandalias,Ella usa sandalias en el verano.,dép; xăng đan,Cô ấy đi xăng đan vào mùa hè.,รองเท้าแตะ,เธอใส่รองเท้าแตะในฤดูร้อน,sandal,Dia memakai sandal di musim panas.
zipper,The zipper on my jacket is stuck.,지퍼,재킷 지퍼가 걸렸어요.,ジッパー; ファスナー,ジャケットのジッパーが引っかかった。,拉链,我夹克的拉链卡住了。,cremallera; cierre,La cremallera de mi chaqueta está atorada.,khóa kéo,Khóa kéo áo khoác tôi bị kẹt.,ซิป,ซิปแจ็กเก็ตของฉันติด,resleting,Resleting jaket saya macet.
button,A button fell off my shirt.,단추,셔츠에서 단추가 떨어졌어요.,ボタン,シャツからボタンが取れた。,扣子; 纽扣,我衬衫上掉了一颗扣子。,botón,Un botón se cayó de mi camisa.,nút; cúc áo,Cúc áo bị rơi.,กระดุม,กระดุมเสื้อหลุด,kancing,Kancing kemeja saya lepas.
pocket,He put the coin in his pocket.,주머니,그는 동전을 주머니에 넣었어요.,ポケット,彼はコインをポケットに入れた。,口袋,他把硬币放进口袋里。,bolsillo,Él puso la moneda en su bolsillo.,túi,Anh ấy bỏ đồng xu vào túi.,กระเป๋า,เขาใส่เหรียญในกระเป๋า,saku,Dia menaruh koin di sakunya.
sleeve,Roll up your sleeves before washing.,소매,씻기 전에 소매를 걷으세요.,袖,洗う前に袖をまくってください。,袖子,洗手前把袖子卷起来。,manga,Enróllate las mangas antes de lavar.,tay áo,Xắn tay áo lên trước khi rửa.,แขนเสื้อ,ม้วนแขนเสื้อขึ้นก่อนล้าง,lengan baju,Gulung lengan baju sebelum mencuci.
collar,The dog wears a red collar.,칼라; 옷깃,그 개는 빨간 목줄을 하고 있어요.,襟; 首輪,犬は赤い首輪をしている。,领子; 项圈,那只狗戴着红色项圈。,cuello; collar,El perro usa un collar rojo.,cổ áo; vòng cổ,Con chó đeo vòng cổ màu đỏ.,ปกเสื้อ; ปลอกคอ,สุนัขสวมปลอกคอสีแดง,kerah; kalung,Anjing itu memakai kalung merah.
laundromat,I go to the laundromat every week.,빨래방; 세탁소,나는 매주 빨래방에 가요.,コインランドリー,毎週コインランドリーに行きます。,自助洗衣店,我每周去自助洗衣店。,lavandería,Voy a la lavandería cada semana.,tiệm giặt,Tôi đến tiệm giặt mỗi tuần.,ร้านซักผ้า,ฉันไปร้านซักผ้าทุกสัปดาห์,laundry,Saya pergi ke laundry setiap minggu.
