sociolect,"A sociolect reflects the distinctive speech patterns associated with a particular social class or occupational group.",사회 방언,"사회 방언은 특정 사회 계층이나 직업 집단과 관련된 독특한 발화 패턴을 반영한다.",社会方言,社会方言は特定の社会階級や職業集団に関連する独特の発話パターンを反映する。,社会方言,社会方言反映了与特定社会阶层或职业群体相关的独特言语模式。,sociolecto,Un sociolecto refleja los patrones de habla distintivos asociados con una clase social o grupo ocupacional particular.,phương ngữ xã hội,Phương ngữ xã hội phản ánh các mẫu nói đặc trưng liên quan đến một tầng lớp xã hội hoặc nhóm nghề nghiệp cụ thể.,ภาษาถิ่นทางสังคม,ภาษาถิ่นทางสังคมสะท้อนรูปแบบการพูดที่เป็นเอกลักษณ์ของชนชั้นทางสังคมหรือกลุ่มอาชีพเฉพาะ,sosiolek,Sosiolek mencerminkan pola tutur khas yang terkait dengan kelas sosial atau kelompok pekerjaan tertentu.
code-switching,"Code-switching between languages within a single conversation reflects complex sociolinguistic identity negotiation.",코드 전환,"단일 대화 내에서의 언어 간 코드 전환은 복잡한 사회언어학적 정체성 협상을 반영한다.",コードスイッチング,一つの会話内での言語間のコードスイッチングは複雑な社会言語学的アイデンティティの交渉を反映する。,语码转换,单一对话中语言之间的语码转换反映了复杂的社会语言学身份协商。,alternancia de código,La alternancia de código entre idiomas dentro de una sola conversación refleja una compleja negociación de identidad sociolingüística.,chuyển mã,Chuyển mã giữa các ngôn ngữ trong một cuộc hội thoại phản ánh sự thương lượng bản sắc ngôn ngữ xã hội phức tạp.,การสลับรหัสภาษา,การสลับรหัสภาษาระหว่างภาษาภายในบทสนทนาเดียวสะท้อนการเจรจาอัตลักษณ์ทางสังคมภาษาศาสตร์ที่ซับซ้อน,alih kode,Alih kode antar bahasa dalam satu percakapan mencerminkan negosiasi identitas sosiolinguistik yang kompleks.
pidginization,"Pidginization occurs when speakers of different languages develop a simplified contact language for basic communication.",피진화,"피진화는 서로 다른 언어의 화자가 기본적인 의사소통을 위한 단순화된 접촉 언어를 발전시킬 때 발생한다.",ピジン化,ピジン化は異なる言語の話者が基本的なコミュニケーションのための簡略化された接触言語を発展させるときに起こる。,皮钦语化,皮钦语化发生在不同语言的使用者为基本交流而发展出一种简化的接触语言时。,pidginización,La pidginización ocurre cuando hablantes de diferentes idiomas desarrollan una lengua de contacto simplificada para la comunicación básica.,sự hình thành ngôn ngữ hỗn hợp,Sự hình thành ngôn ngữ hỗn hợp xảy ra khi những người nói các ngôn ngữ khác nhau phát triển một ngôn ngữ tiếp xúc đơn giản hóa để giao tiếp cơ bản.,การเกิดภาษาผสม,การเกิดภาษาผสมเกิดขึ้นเมื่อผู้พูดภาษาต่างกันพัฒนาภาษาสัมผัสที่เรียบง่ายสำหรับการสื่อสารเบื้องต้น,pidginisasi,Pidginisasi terjadi ketika penutur bahasa yang berbeda mengembangkan bahasa kontak yang disederhanakan untuk komunikasi dasar.
discourse analysis,"Discourse analysis reveals how power relations are constructed and reinforced through everyday language use.",담화 분석,"담화 분석은 권력 관계가 일상적인 언어 사용을 통해 어떻게 구성되고 강화되는지를 밝힌다.",談話分析,談話分析は権力関係が日常的な言語使用を通じてどのように構築され強化されるかを明らかにする。,话语分析,话语分析揭示了权力关系如何通过日常语言使用被建构和强化。,análisis del discurso,El análisis del discurso revela cómo las relaciones de poder se construyen y refuerzan a través del uso cotidiano del lenguaje.,phân tích diễn ngôn,Phân tích diễn ngôn cho thấy các mối quan hệ quyền lực được xây dựng và củng cố như thế nào thông qua việc sử dụng ngôn ngữ hàng ngày.,การวิเคราะห์วาทกรรม,การวิเคราะห์วาทกรรมเผยให้เห็นว่าความสัมพันธ์เชิงอำนาจถูกสร้างและเสริมแรงผ่านการใช้ภาษาในชีวิตประจำวันอย่างไร,analisis wacana,Analisis wacana mengungkapkan bagaimana hubungan kekuasaan dibangun dan diperkuat melalui penggunaan bahasa sehari-hari.
diachronic,"Diachronic linguistics traces the historical evolution of languages and their grammatical structures over centuries.",통시적,"통시적 언어학은 수 세기에 걸친 언어와 그 문법 구조의 역사적 진화를 추적한다.",通時的,通時的言語学は数世紀にわたる言語とその文法構造の歴史的進化を辿る。,历时的,历时语言学追溯数世纪以来语言及其语法结构的历史演变。,diacrónico,La lingüística diacrónica traza la evolución histórica de las lenguas y sus estructuras gramaticales a lo largo de los siglos.,lịch đại,Ngôn ngữ học lịch đại truy vết sự tiến hóa lịch sử của các ngôn ngữ và cấu trúc ngữ pháp của chúng qua nhiều thế kỷ.,วิวัฒนาการตามเวลา,ภาษาศาสตร์เชิงวิวัฒนาการตามเวลาสืบค้นวิวัฒนาการทางประวัติศาสตร์ของภาษาและโครงสร้างไวยากรณ์ตลอดหลายศตวรรษ,diakronis,Linguistik diakronis menelusuri evolusi historis bahasa dan struktur gramatikalnya selama berabad-abad.
suprasegmental,"Suprasegmental features such as intonation and stress convey meaning beyond individual speech sounds.",초분절적,"억양과 강세와 같은 초분절적 특징은 개별 음성 너머의 의미를 전달한다.",超分節的,イントネーションやストレスなどの超分節的特徴は個々の音声を超えた意味を伝える。,超音段的,语调和重音等超音段特征传达了超越单个语音的意义。,suprasegmental,Las características suprasegmentales como la entonación y el acento transmiten significado más allá de los sonidos individuales del habla.,siêu đoạn tính,Các đặc điểm siêu đoạn tính như ngữ điệu và trọng âm truyền tải ý nghĩa vượt ra ngoài các âm thanh lời nói riêng lẻ.,เหนือหน่วยเสียง,ลักษณะเหนือหน่วยเสียงเช่นทำนองเสียงและการเน้นเสียงถ่ายทอดความหมายเกินกว่าเสียงพูดแต่ละเสียง,suprasegmental,Fitur suprasegmental seperti intonasi dan tekanan menyampaikan makna di luar bunyi ujaran individual.
language attrition,"Language attrition occurs when speakers gradually lose proficiency in a language they no longer use regularly.",언어 마멸,"언어 마멸은 화자가 더 이상 정기적으로 사용하지 않는 언어에 대한 능숙도를 점차 잃을 때 발생한다.",言語摩耗,言語摩耗は話者が定期的に使用しなくなった言語の習熟度を徐々に失うときに起こる。,语言磨蚀,语言磨蚀发生在说话者逐渐失去不再经常使用的语言的熟练程度时。,atrición lingüística,La atrición lingüística ocurre cuando los hablantes pierden gradualmente la competencia en un idioma que ya no usan regularmente.,sự mai một ngôn ngữ,Sự mai một ngôn ngữ xảy ra khi người nói dần mất đi khả năng thành thạo trong ngôn ngữ mà họ không còn sử dụng thường xuyên.,การเสื่อมถอยของภาษา,การเสื่อมถอยของภาษาเกิดขึ้นเมื่อผู้พูดสูญเสียความสามารถทางภาษาที่ไม่ได้ใช้เป็นประจำอีกต่อไป,atrisi bahasa,Atrisi bahasa terjadi ketika penutur secara bertahap kehilangan kemahiran dalam bahasa yang tidak lagi mereka gunakan secara teratur.
linguistic determinism,"Linguistic determinism posits that the structure of a language fundamentally shapes the thought patterns of its speakers.",언어 결정론,"언어 결정론은 언어의 구조가 화자의 사고 패턴을 근본적으로 형성한다고 주장한다.",言語決定論,言語決定論は言語の構造が話者の思考パターンを根本的に形成すると主張する。,语言决定论,语言决定论认为语言的结构从根本上塑造了其使用者的思维模式。,determinismo lingüístico,El determinismo lingüístico postula que la estructura de una lengua moldea fundamentalmente los patrones de pensamiento de sus hablantes.,thuyết quyết định luận ngôn ngữ,Thuyết quyết định luận ngôn ngữ cho rằng cấu trúc của một ngôn ngữ định hình cơ bản các mô hình tư duy của người nói nó.,ภาษากำหนดความคิด,ทฤษฎีภาษากำหนดความคิดตั้งสมมติฐานว่าโครงสร้างของภาษากำหนดรูปแบบความคิดของผู้พูดอย่างพื้นฐาน,determinisme linguistik,Determinisme linguistik berpendapat bahwa struktur bahasa secara fundamental membentuk pola pikir penuturnya.
epenthesis,"Epenthesis is the insertion of an extra sound into a word to ease pronunciation in connected speech.",삽입음,"삽입음은 연결된 발화에서 발음을 쉽게 하기 위해 단어에 여분의 소리를 삽입하는 것이다.",挿入音,挿入音は連続した発話において発音を容易にするために語に余分な音を挿入することである。,插音,插音是在连续语流中为便于发音而在词中插入额外音素的现象。,epéntesis,La epéntesis es la inserción de un sonido extra en una palabra para facilitar la pronunciación en el habla conectada.,hiện tượng chen âm,Hiện tượng chen âm là việc chèn thêm một âm vào từ để dễ phát âm hơn trong lời nói liên tục.,การเติมเสียง,การเติมเสียงคือการแทรกเสียงเพิ่มเติมเข้าไปในคำเพื่อให้ออกเสียงได้ง่ายขึ้นในการพูดต่อเนื่อง,epentesis,Epentesis adalah penyisipan bunyi tambahan ke dalam kata untuk memudahkan pengucapan dalam ujaran terhubung.
agglutination,"Agglutination is a morphological process in which words are formed by stringing together distinct meaningful units.",교착,"교착은 뚜렷한 의미 단위를 연결하여 단어를 형성하는 형태론적 과정이다.",膠着,膠着は明確な意味単位をつなぎ合わせて語を形成する形態論的プロセスである。,黏着,黏着是一种形态过程通过将不同的有意义单位串联在一起来构成词。,aglutinación,La aglutinación es un proceso morfológico en el que las palabras se forman encadenando unidades significativas distintas.,hiện tượng chắp dính,Hiện tượng chắp dính là một quá trình hình thái học trong đó các từ được hình thành bằng cách nối các đơn vị có nghĩa riêng biệt lại với nhau.,การเกาะติด,การเกาะติดเป็นกระบวนการทางสัณฐานวิทยาที่คำถูกสร้างขึ้นโดยการเรียงหน่วยความหมายที่แตกต่างกันเข้าด้วยกัน,aglutinasi,Aglutinasi adalah proses morfologis di mana kata dibentuk dengan merangkai unit bermakna yang berbeda.
