korean,english,alt,situation,note,category
지하철역 가려는데 이쪽이 맞나요?,I'm trying to get to the subway station. Am I going the right way?,Is this the right direction for the subway?,길 물어볼 때,Am I going the right way? = 이 방향 맞아?,여행
공항까지 얼마나 걸려요?,How long does it take to get to the airport?,How far is the airport from here?,거리/시간 물을 때,How long = 시간 / How far = 거리,여행
여기서 내려주시면 돼요 감사합니다,You can drop me off right here. Thanks.,This is my stop. Thanks for the ride.,택시/우버 하차,Thanks for the ride = 태워줘서 고마워,여행
와이파이 비밀번호 좀 알 수 있을까요?,What's the Wi-Fi password by any chance?,Could I get the Wi-Fi info?,카페/호텔에서,by any chance = 혹시,여행
예약한 박씨인데요 체크인 하려고요,Hi I have a reservation under Park. I'd like to check in.,I'm checking in. The reservation is under Park.,호텔 도착 시,under + 이름 = ~이름으로 된 예약,여행
비행기를 놓쳐서요 다음 편 있나요?,I missed my flight. Is there a later one I can get on?,I didn't make my flight. What are my options?,공항에서,What are my options?은 대안을 물을 때 유용,여행
저희 사진 좀 찍어주실 수 있으세요?,Would you mind taking a picture of us?,Could you snap a quick photo of us?,관광지에서,Would you mind~?가 가장 정중한 표현,여행
시내까지 보통 얼마나 걸려?,How long does it usually take to get downtown?,What's the average commute time to downtown?,시간 물어볼 때,commute = 통근/이동시간,여행
친구랑 같이 앉고 싶은데 자리 바꿔주실 수 있나요?,Would you mind switching seats so I can sit with my friend?,Could we swap seats? I'd love to sit next to my friend.,좌석 교환,swap = switch = 교환하다,여행
식당까지 걸어갈 만해 아니면 차 가져갈까?,Is the restaurant within walking distance or should we drive?,Can we walk there or is it too far?,거리 확인,within walking distance = 걸어갈 수 있는 거리,여행
환승해야 돼 아니면 바로 가?,Do I need to transfer or is it a direct line?,Is it a straight shot or do I have to switch trains?,대중교통,straight shot = 직통 / switch lines = 환승하다,여행
다음 정거장에서 내려서 3번 출구로 나가면 돼,Get off at the next stop and take exit 3.,Your stop is next. Head out through exit 3.,하차 안내,the stop after next = 다다음 정거장,여행
이 근처에 약국 있나요?,Is there a pharmacy near here?,Do you know if there's a drugstore around here?,위치 찾을 때,pharmacy = drugstore = 약국,여행
주차장 어디예요?,Where can I park around here?,Is there parking nearby?,주차,Is there parking? = 주차할 데 있어?,여행
이 버스 시청 가요?,Does this bus go to city hall?,Is this the right bus for city hall?,대중교통,Am I on the right bus? = 이 버스 맞아?,여행
표 어디서 사요?,Where can I buy a ticket?,Where do I get tickets?,표 구매,ticket machine = 자동발매기,여행
체크아웃 몇 시예요?,What time is checkout?,When do we have to be out by?,호텔 퇴실,late checkout = 늦은 퇴실,여행
거기 가려면 차 없으면 좀 힘들어,It's kind of hard to get there without a car.,That place is pretty inaccessible if you don't drive.,교통,inaccessible = 접근하기 어려운,여행
살짝 멀미 날 것 같아 창문 좀 열어줄래?,I'm feeling a little carsick. Can you crack the window?,I think I might get motion sickness. Can we open a window?,차 안에서,carsick = 차멀미 / crack the window = 창문 살짝 열다,여행
이 동네 치안이 별로라 밤에 혼자 다니지 마,This neighborhood isn't that safe. Don't walk alone at night.,The area's a bit sketchy. Stick to well-lit streets after dark.,안전 주의,sketchy = 수상한/위험한,여행
거기 주차 자리 있어? 주차하기 힘들면 대중교통 타자,Is there parking there? If it's hard to park let's just take public transit.,Any parking available? If not let's take the subway instead.,이동 수단,public transit = 대중교통,여행
비행기 연착됐대 2시간 더 기다려야 해,The flight's been delayed. We have to wait two more hours.,Our plane is running two hours late. What a pain.,공항에서,delayed = 연착된 / running late = 늦어지는,여행
혹시 근처에 약국 어디 있는지 아세요?,Do you happen to know if there's a pharmacy nearby?,Excuse me is there a drugstore around here?,길 물을 때,pharmacy = drugstore = 약국,여행
우리 여기서 사진 찍자 배경 진짜 예쁘다,Let's take a photo here. The background is gorgeous.,We have to get a picture here. This view is stunning.,사진 촬영,gorgeous/stunning = 아름다운,여행
택시비가 이렇게 비싸? 그냥 지하철 탈걸,The taxi fare is that much? I should've just taken the subway.,That's highway robbery for a cab ride. Should've gone with the metro.,택시비 놀람,highway robbery = 바가지 / fare = 요금,여행
거기 가본 적 있어? 후기 좀 알려줘,Have you been there before? Give me your honest review.,You've been right? How was it? Worth going?,후기 요청,honest review = 솔직한 후기,여행
체크인이 몇 시부터예요? 일찍 도착했는데,What time is check-in? We arrived a little early.,We're here ahead of schedule. When can we check in?,호텔 체크인,ahead of schedule = 예정보다 일찍,여행
거기 에어비앤비로 잡았어 호텔보다 훨씬 싸더라,I booked an Airbnb there. Way cheaper than a hotel.,We're staying at an Airbnb. It was a fraction of the hotel price.,숙소 예약,a fraction of = ~의 일부/훨씬 적은,여행
이번 여행에서 가장 좋았던 게 뭐야?,What was the best part of the trip for you?,What was the highlight of your vacation?,여행 후기,highlight = 하이라이트/가장 좋았던 부분,여행
와 여기 야경 미쳤다 사진으로는 안 담긴다,The night view here is breathtaking. Photos don't do it justice.,This view is insane at night. You have to see it in person.,야경 감탄,don't do it justice = 실물만큼 안 나오다,여행
여기 팁 얼마나 줘야 해? 미국은 팁 문화가 달라서 헷갈려,How much should I tip here? Tipping culture in the US is so confusing.,What's the standard tip? I always get confused with American tipping.,팁 문화,tip = 팁 / standard = 기준/표준,여행
여기 무료 주차 되나요? 아니면 근처에 주차장 있어요?,Is parking free here? Or is there a parking lot nearby?,Do I need to pay for parking or is it complimentary?,주차 문의,complimentary = 무료의,여행
나 길치라서 네비 없으면 진짜 길 못 찾아,I have zero sense of direction. I'm completely lost without GPS.,I'm so bad with directions. Without navigation I'd be wandering forever.,길치,sense of direction = 방향 감각 / GPS = 네비게이션,여행
여기 반려동물 동반 입장 가능한가요?,Are pets allowed in here?,Is this place pet-friendly?,반려동물,pet-friendly = 반려동물 동반 가능한,여행
여기서 걸어서 갈 수 있어? 아니면 택시 타야 해?,Can we walk there from here or should we grab a cab?,Is it walking distance or do we need a ride?,거리 확인,walking distance = 걸어갈 수 있는 거리 / grab a cab = 택시 타다,여행
이거 짐 맡아줄 수 있는 곳 있나요?,Is there somewhere I can store my luggage?,Do you have a luggage storage service?,짐 보관,luggage storage = 짐 보관소,여행
이거 환율 얼마야? 원화로 얼마 정도 되는 거야?,What's the exchange rate? How much is this in Korean won?,How does this convert to won at the current rate?,환율 계산,exchange rate = 환율 / convert = 변환하다,여행
나 비행기 무서워 불안해 죽겠어,I'm terrified of flying. The anxiety is unbearable.,I have such a bad fear of flying. I'm freaking out.,비행 공포,terrified = 무서운 / fear of flying = 비행 공포증,여행
여기서 사진 찍으면 안 되나요? 촬영 금지예요?,Are photos not allowed here? Is there a no photography policy?,Can I take pictures here or is it restricted?,촬영 허용,no photography = 촬영 금지 / restricted = 제한된,여행
주말에 캠핑 가려고 하는데 날씨가 좀 걸리네,I'm thinking of going camping this weekend but the weather has me worried.,We want to camp this weekend but the forecast doesn't look great.,캠핑 계획,forecast = 일기예보 / has me worried = 걱정되게 하다,여행
출발 전에 화장실 다녀와 중간에 쉴 데 없어,Use the bathroom before we leave. There won't be any stops along the way.,Hit the restroom now. We're not stopping until we get there.,출발 전,along the way = 가는 길에,여행
너 운전 좀 천천히 해 무서워,Slow down a bit. You're scaring me.,Can you ease up on the gas? I'm getting nervous.,과속,ease up = 줄이다/천천히 하다 / on the gas = 가속 페달에,여행
나 지금 교통카드 잔액이 없어 충전 어디서 해?,My transit card is empty. Where can I top it up?,I need to reload my bus pass. Is there a kiosk nearby?,교통카드,top up = 충전하다 / reload = 재충전 / kiosk = 키오스크,여행
거기 가려면 환승 한 번 해야 해,You need to transfer once to get there.,Take line 2 and switch at the next station.,환승,transfer / switch = 환승하다,여행
시차 적응이 안 돼서 낮에 졸리고 밤에 잠이 안 와,I'm still jet-lagged. Sleepy during the day and wide awake at night.,The time difference is messing with me. My sleep schedule is all over the place.,시차,jet-lagged = 시차 적응 안 된 / all over the place = 엉망인,여행
여기 화장실 깨끗한 편이야? 별로면 좀 참을게,Are the restrooms here decent? If not I'll hold it.,How clean are the bathrooms? I'd rather wait if they're gross.,화장실 상태,decent = 괜찮은 / hold it = 참다 / gross = 더러운,여행
그래서 우리 이번 휴가 어디로 갈까? 후보 있어?,So where should we go for our vacation? Any ideas?,Have you thought about where you want to travel? I'm open to suggestions.,여행 계획,open to suggestions = 제안 환영,여행
짐이 너무 무거워 택배로 보내는 게 낫겠다,This luggage is way too heavy. It'd be better to just ship it.,My bags weigh a ton. Let's mail the heavy stuff instead.,짐 무게,ship/mail = 배송하다 / weigh a ton = 엄청 무겁다,여행
여기 에스컬레이터는 왼쪽으로 서는 거야 오른쪽으로 서는 거야?,Do you stand on the left or right side of the escalator here?,Which side do you stand on here? Every country is different.,에스컬레이터,escalator = 에스컬레이터,여행
이 근처에 ATM 어디 있어요? 현금이 필요해서,Is there an ATM around here? I need to get some cash.,Where's the nearest cash machine? I need to withdraw some money.,ATM 위치,cash machine = ATM / withdraw = 인출,여행
거기 교통편이 어때? 대중교통으로 갈 수 있어?,How's the transportation there? Is it accessible by public transit?,Can you get there by bus or subway or do you need a car?,교통편 확인,accessible = 접근 가능한 / public transit = 대중교통,여행
비행기 기내식이 생각보다 괜찮았어,The airplane food was actually better than expected.,I was pleasantly surprised by the in-flight meal.,비행기 식사,in-flight meal = 기내식 / pleasantly surprised = 뜻밖에 좋아서 놀란,여행
지금 현재 환율로 100달러면 한국 돈으로 얼마야?,How much is a hundred dollars in Korean won at the current rate?,What's the won equivalent of a hundred bucks right now?,환율,current rate = 현재 환율 / equivalent = 동등한 금액,여행
주말 농장 체험 같이 갈래? 딸기 따기 한대,Want to go to a farm experience this weekend? They have strawberry picking.,How about we go strawberry picking at that weekend farm?,체험 활동,strawberry picking = 딸기 따기 / farm experience = 농장 체험,여행
이 길로 가면 맞아? 네비가 이상한 데로 안내하는 것 같은데,Is this the right way? The GPS seems to be taking us somewhere weird.,I think the navigation is leading us astray. This doesn't look right.,길 찾기,leading astray = 잘못 안내하는 / GPS = 네비게이션,여행
일본어는 좀 할 줄 알아? 거기 여행 갈 건데,Do you speak any Japanese? I'm planning a trip there.,Know any Japanese? It might come in handy for our trip.,언어,come in handy = 유용하다,여행
주차장이 꽉 찼어 다른 데 찾아봐야겠다,The parking lot is full. We need to find somewhere else.,No spots left. Let's circle around and look for street parking.,주차,circle around = 돌다 / street parking = 노상 주차,여행
지하철 몇 호선 타야 해? 환승은 어디서 해?,Which subway line do I take? Where do I transfer?,What line should I get on and where do I need to switch?,지하철,subway line = 지하철 호선 / transfer/switch = 환승,여행
이 가방 기내 반입 되나요? 크기 제한이 어떻게 돼요?,Can I take this bag as a carry-on? What's the size limit?,Does this meet the carry-on dimensions? I don't want to check it.,기내 반입,carry-on = 기내 반입 / check = (짐을) 부치다,여행
좌석 업그레이드 가능한가요? 비즈니스로요,Is it possible to upgrade my seat? To business class?,Can I get bumped up to business class? What would that cost?,좌석 업그레이드,upgrade = 업그레이드 / bumped up = 올려진,여행
다음 역에서 내려야 해 준비해,We need to get off at the next stop. Get ready.,Our stop is coming up. Let's move to the door.,대중교통,get off = 내리다 / coming up = 다가오는,여행
여기 진짜 한적하다 사람이 하나도 없네,This place is so peaceful. There's literally nobody here.,It's completely deserted here. We have the whole place to ourselves.,한적한 곳,deserted = 인적 없는 / have it to ourselves = 우리만 있는,여행
이 동네 밤에 걸어도 안전해? 골목이 좀 어두운데,Is it safe to walk around here at night? The alleys are kind of dark.,How safe is this neighborhood after dark? Some of these streets look sketchy.,안전,after dark = 해가 진 후 / sketchy = 위험해 보이는,여행
기차 놓쳤어 다음 거 언제야?,I missed the train. When's the next one?,We just missed it. How long until the next train?,기차,missed the train = 기차 놓친,여행
여기서 환전할 수 있나요? 달러를 원화로 바꾸고 싶은데,Can I exchange currency here? I'd like to change dollars to won.,Where can I convert my dollars to Korean won?,환전,exchange currency = 환전 / convert = 변환,여행
좀 걸어 다니면서 구경하자 택시 타면 못 보잖아,Let's walk around and explore. You miss everything in a taxi.,Let's go on foot and soak in the sights. You can't do that from a cab.,도보 관광,soak in = 느끼다/흡수하다 / on foot = 걸어서,여행
나 멀미약 챙겼어 배 타면 항상 멀미해서,I brought motion sickness pills. I always get seasick on boats.,I packed Dramamine just in case. Boats and I don't mix.,멀미,motion sickness = 멀미 / seasick = 배멀미,여행
좌석 바꿔주실 수 있나요? 창가 자리로 부탁드려요,Could I switch to a window seat please?,Is there any chance I can move to a window seat?,좌석 변경,window seat = 창가 좌석 / switch = 바꾸다,여행
이 지역 특산물 뭐가 유명해? 기념품으로 사가려고,What local specialties are famous here? I want to buy some as souvenirs.,What's this area known for? I'd like to bring back something authentic.,기념품,local specialties = 지역 특산물 / souvenirs = 기념품,여행
이거 예약 취소하면 위약금 있나요?,Is there a cancellation fee if I cancel this reservation?,Do I get charged a penalty for cancelling?,취소 수수료,cancellation fee = 취소 수수료 / penalty = 위약금,여행
이거 어느 방향으로 가야 해? 출구가 어딘지 모르겠어,Which way should I go? I can't figure out where the exit is.,I'm completely turned around. Where's the way out?,길 찾기,turned around = 방향감각 잃은 / way out = 출구,여행
사람 많은 데서는 가방 앞으로 매 소매치기 조심해,Keep your bag in front of you in crowded areas. Watch out for pickpockets.,Be careful with your belongings in crowds. Pickpockets are common here.,소매치기,pickpockets = 소매치기 / belongings = 소지품,여행
거기 주변에 볼거리 있어? 근처에서 시간 때울 데가 필요해,Is there anything to see around there? I need something to kill time nearby.,Any attractions or spots worth visiting in the area?,관광,kill time = 시간 때우다 / attractions = 볼거리,여행
여기 주차 무료야 아니면 유료야?,Is parking free here or do you have to pay?,Do they charge for parking or is it complimentary?,주차비,complimentary = 무료 / charge for = 돈을 받다,여행
여기서 사진 찍어도 되는 거야? 촬영 금지는 아니지?,Is it okay to take pictures here? It's not a no-photo zone right?,Are we allowed to photograph here? I don't want to get in trouble.,사진 허용,no-photo zone = 촬영 금지 구역,여행
거기 가면 꼭 먹어봐야 하는 게 뭐야?,What's a must-try when you go there?,What should I absolutely not miss eating there?,추천 음식,must-try = 꼭 먹어봐야 하는 / not miss = 놓치지 않아야 할,여행
거기 짐 보관할 곳 있어? 체크아웃 했는데 비행기가 밤이라,Is there luggage storage? I've already checked out but my flight isn't until tonight.,Any place to keep our bags? We checked out but we still have hours to kill.,짐 보관,luggage storage = 짐 보관소 / hours to kill = 남는 시간,여행
이번에 해외여행 가면 로밍할 거야 현지 유심 살 거야?,Are you going to use roaming on your overseas trip or buy a local SIM?,Will you get an international plan or just grab a SIM card when you land?,통신,roaming = 로밍 / local SIM = 현지 유심,여행
좌석 예매 했어? 혹시 취소표 나올 수도 있으니까 계속 확인해봐,"Did you book seats? Keep checking in case there are cancellations.",I'd suggest refreshing the page for cancellation tickets. They pop up randomly.,예매,cancellations = 취소표 / pop up = 나타나다,여행
택시 기본요금이 얼마야? 미터기 켜고 가는 거 맞지?,What's the base fare for a taxi? They use the meter right?,How much is the starting rate? Make sure the meter is running.,택시 요금,base fare = 기본요금 / meter = 미터기,여행
거기 가면 기념 사진 꼭 찍어 나중에 후회해,Make sure you take photos there. You'll regret it if you don't.,Don't forget to snap some pics. You'll want to remember that moment.,사진,snap some pics = 사진 찍다 / regret = 후회하다,여행
이거 가지고 비행기 탈 수 있어? 액체류 규정이 어떻게 돼?,Can I take this on a plane? What are the liquid restrictions?,Does this fall within the carry-on liquid limits?,기내 반입,liquid restrictions = 액체류 규정 / carry-on = 기내,여행
와 이 뷰 진짜 돈 값 한다,This view is worth every penny.,The scenery alone justifies the price.,경치,worth every penny = 돈 값을 하는 / justifies = 정당화하다,여행
짐 다 쌌어? 여권이랑 충전기 챙겼어?,All packed? Did you remember your passport and charger?,Double-check that you've got your passport and charger before we leave.,여행 준비,all packed = 다 싼 / double-check = 다시 확인,여행
