english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
recalcitrant,"The recalcitrant patient refused all recommended treatments despite the physician's repeated counsel.",반항적인,"그 반항적인 학생은 교수의 모든 지도를 거부했다.",反抗的な,"その反抗的な患者は医師の助言をすべて拒否した。",顽固不化的,"那个顽固不化的病人拒绝了医生的所有建议。",recalcitrante,"El paciente recalcitrante rechazo todos los tratamientos recomendados.",bướng bỉnh,"Bệnh nhân bướng bỉnh từ chối mọi phương pháp điều trị được khuyến nghị.",ดื้อรั้น,"ผู้ป่วยที่ดื้อรั้นปฏิเสธการรักษาทั้งหมดที่แนะนำ",keras kepala,"Pasien yang keras kepala menolak semua perawatan yang direkomendasikan."
obfuscate,"The politician attempted to obfuscate the issue by introducing irrelevant statistics.",혼란시키다,"그 정치인은 무관한 통계를 도입하여 문제를 혼란시키려 했다.",曖昧にする,"政治家は無関係な統計を持ち出して問題を曖昧にしようとした。",使模糊,"那位政治家试图通过引入无关的统计数据来使问题模糊化。",ofuscar,"El politico intento ofuscar el tema introduciendo estadisticas irrelevantes.",làm rối,"Chính trị gia cố gắng làm rối vấn đề bằng cách đưa ra số liệu không liên quan.",ทำให้สับสน,"นักการเมืองพยายามทำให้ประเด็นสับสนด้วยการนำสถิติที่ไม่เกี่ยวข้องมาใช้",mengaburkan,"Politisi itu berusaha mengaburkan masalah dengan memperkenalkan statistik yang tidak relevan."
sycophant,"The professor warned students not to become sycophants who merely echoed the advisor's opinions.",아첨꾼,"교수는 학생들에게 지도교수의 의견만 따라하는 아첨꾼이 되지 말라고 경고했다.",追従者,"教授は指導教官の意見をただ繰り返す追従者にならないよう学生に警告した。",谄媚者,"教授警告学生不要成为只会附和导师意见的谄媚者。",sicofante,"El profesor advirtio a los estudiantes que no se convirtieran en sicofantes.",kẻ nịnh hót,"Giáo sư cảnh báo sinh viên không nên trở thành kẻ nịnh hót chỉ biết lặp lại ý kiến của người hướng dẫn.",คนประจบ,"อาจารย์เตือนนักศึกษาไม่ให้เป็นคนประจบที่เพียงแค่สะท้อนความคิดเห็นของอาจารย์ที่ปรึกษา",penjilat,"Profesor memperingatkan mahasiswa agar tidak menjadi penjilat yang hanya menggemakan pendapat pembimbing."
enervate,"The prolonged heatwave served to enervate even the most resilient field researchers.",기력을 빼다,"장기간의 폭염은 가장 강인한 현장 연구원들의 기력을 빼놓았다.",気力を奪う,"長引く猛暑は最も体力のある研究者の気力を奪った。",使衰弱,"持久的热浪使最坚强的野外研究人员也感到衰弱。",enervar,"La prolongada ola de calor logro enervar incluso a los investigadores mas resistentes.",làm suy nhược,"Đợt nắng nóng kéo dài làm suy nhược cả những nhà nghiên cứu thực địa kiên cường nhất.",ทำให้อ่อนแอ,"คลื่นความร้อนที่ยาวนานทำให้แม้แต่นักวิจัยภาคสนามที่แข็งแกร่งที่สุดอ่อนแอลง",melemahkan,"Gelombang panas yang berkepanjangan melemahkan bahkan peneliti lapangan yang paling tangguh."
perspicacious,"Her perspicacious analysis of the data revealed patterns that others had overlooked.",통찰력 있는,"그녀의 통찰력 있는 데이터 분석은 다른 사람들이 놓친 패턴을 드러냈다.",洞察力のある,"彼女の洞察力のあるデータ分析は他者が見落としたパターンを明らかにした。",敏锐的,"她对数据的敏锐分析揭示了其他人忽略的模式。",perspicaz,"Su perspicaz analisis de los datos revelo patrones que otros habian pasado por alto.",sáng suốt,"Phân tích sáng suốt của cô ấy về dữ liệu đã phát hiện ra các mô hình mà người khác bỏ qua.",ฉลาดหลักแหลม,"การวิเคราะห์ข้อมูลอย่างฉลาดหลักแหลมของเธอเผยให้เห็นรูปแบบที่คนอื่นมองข้าม",tajam,"Analisis datanya yang tajam mengungkapkan pola yang terlewatkan oleh orang lain."
abnegate,"The monk chose to abnegate all material possessions in pursuit of spiritual enlightenment.",포기하다,"그 수도승은 영적 깨달음을 위해 모든 물질적 소유를 포기하기로 했다.",放棄する,"修道僧は精神的悟りを求めてすべての物質的所有を放棄した。",放弃,"僧侣选择放弃一切物质财产以追求精神上的觉悟。",abnegar,"El monje eligio abnegar todas las posesiones materiales en busca de la iluminacion espiritual.",từ bỏ,"Nhà sư chọn từ bỏ mọi tài sản vật chất để theo đuổi sự giác ngộ tâm linh.",สละ,"พระสงฆ์เลือกที่จะสละทรัพย์สินทางโลกทั้งหมดเพื่อแสวงหาการตรัสรู้ทางจิตวิญญาณ",melepaskan,"Biksu itu memilih untuk melepaskan semua harta benda demi pencerahan spiritual."
anachronism,"Using a typewriter in a modern newsroom would be considered an anachronism.",시대착오,"현대 뉴스룸에서 타자기를 사용하는 것은 시대착오로 여겨질 것이다.",時代錯誤,"現代のニュースルームでタイプライターを使うことは時代錯誤と見なされるだろう。",时代错误,"在现代新闻编辑室使用打字机会被认为是时代错误。",anacronismo,"Usar una maquina de escribir en una redaccion moderna seria un anacronismo.",sự lỗi thời,"Sử dụng máy đánh chữ trong phòng tin tức hiện đại sẽ bị coi là sự lỗi thời.",สิ่งผิดยุค,"การใช้เครื่องพิมพ์ดีดในห้องข่าวสมัยใหม่จะถือว่าเป็นสิ่งผิดยุค",anakronisme,"Menggunakan mesin tik di ruang berita modern akan dianggap sebagai anakronisme."
apocryphal,"The apocryphal tale of the university's founding has been debunked by recent archival research.",진위 의심스러운,"대학 설립에 관한 진위 의심스러운 이야기는 최근 기록 연구에 의해 반박되었다.",真偽の疑わしい,"大学創設の真偽の疑わしい話は最近のアーカイブ研究で否定された。",真伪可疑的,"关于大学创建的真伪可疑的故事已被最近的档案研究推翻。",apocrifo,"El relato apocrifo de la fundacion de la universidad ha sido desmentido por investigaciones recientes.",ngụy tạo,"Câu chuyện ngụy tạo về việc thành lập trường đại học đã bị bác bỏ bởi nghiên cứu lưu trữ gần đây.",เรื่องเล่าที่น่าสงสัย,"เรื่องเล่าที่น่าสงสัยเกี่ยวกับการก่อตั้งมหาวิทยาลัยถูกหักล้างโดยการวิจัยจากหอจดหมายเหตุ",apokrif,"Kisah apokrif tentang pendirian universitas telah dibantah oleh penelitian arsip terbaru."
assiduity,"Her assiduity in collecting field samples ensured the accuracy of the longitudinal study.",근면,"현장 샘플 수집에 대한 그녀의 근면함이 종단 연구의 정확성을 보장했다.",勤勉さ,"フィールドサンプル収集における彼女の勤勉さが縦断研究の正確性を確保した。",勤勉,"她在收集田野样本方面的勤勉确保了纵向研究的准确性。",asiduidad,"Su asiduidad en la recoleccion de muestras de campo aseguro la precision del estudio longitudinal.",sự chuyên cần,"Sự chuyên cần của cô ấy trong việc thu thập mẫu thực địa đảm bảo tính chính xác của nghiên cứu.",ความขยันหมั่นเพียร,"ความขยันหมั่นเพียรของเธอในการเก็บตัวอย่างภาคสนามทำให้มั่นใจในความแม่นยำของการศึกษา",ketekunan,"Ketekunannya dalam mengumpulkan sampel lapangan memastikan keakuratan studi longitudinal."
avaricious,"The avaricious executive exploited every loophole to maximize personal profit.",탐욕스러운,"그 탐욕스러운 임원은 개인적 이익을 극대화하기 위해 모든 허점을 이용했다.",貪欲な,"その貪欲な経営者はあらゆる抜け穴を利用して個人的利益を最大化した。",贪婪的,"那位贪婪的高管利用每一个漏洞来最大化个人利润。",avaricioso,"El ejecutivo avaricioso exploto cada resquicio para maximizar su beneficio personal.",tham lam,"Vị giám đốc tham lam khai thác mọi kẽ hở để tối đa hóa lợi nhuận cá nhân.",โลภ,"ผู้บริหารที่โลภใช้ประโยชน์จากช่องโหว่ทุกอย่างเพื่อเพิ่มผลกำไรส่วนตัว",tamak,"Eksekutif yang tamak itu mengeksploitasi setiap celah untuk memaksimalkan keuntungan pribadi."
byzantine,"The byzantine bureaucratic process discouraged many applicants from completing their submissions.",복잡한,"그 복잡한 관료적 절차는 많은 지원자들이 제출을 완료하는 것을 단념하게 했다.",複雑怪奇な,"その複雑怪奇な官僚的プロセスは多くの応募者を提出断念に追い込んだ。",错综复杂的,"错综复杂的官僚程序使许多申请者放弃了提交。",bizantino,"El proceso burocratico bizantino desalento a muchos solicitantes de completar sus solicitudes.",rắc rối,"Quy trình quan liêu rắc rối khiến nhiều ứng viên nản lòng không hoàn thành hồ sơ.",ซับซ้อน,"กระบวนการราชการที่ซับซ้อนทำให้ผู้สมัครหลายคนท้อแท้จนไม่ยื่นเอกสาร",rumit,"Proses birokrasi yang rumit membuat banyak pelamar enggan menyelesaikan pengajuan mereka."
calumny,"The researcher's reputation was destroyed by a campaign of calumny orchestrated by a rival lab.",중상모략,"연구자의 명성은 경쟁 연구실이 조직한 중상모략으로 파괴되었다.",中傷,"研究者の名声はライバル研究室が画策した中傷キャンペーンによって破壊された。",诽谤,"研究者的声誉被竞争实验室策划的诽谤活动所摧毁。",calumnia,"La reputacion del investigador fue destruida por una campana de calumnia orquestada por un laboratorio rival.",sự vu khống,"Danh tiếng của nhà nghiên cứu bị hủy hoại bởi chiến dịch vu khống do phòng thí nghiệm đối thủ tổ chức.",การใส่ร้าย,"ชื่อเสียงของนักวิจัยถูกทำลายโดยการใส่ร้ายที่จัดตั้งโดยห้องปฏิบัติการคู่แข่ง",fitnah,"Reputasi peneliti hancur oleh kampanye fitnah yang didalangi laboratorium saingan."
captious,"The captious reviewer found fault with every minor detail of the manuscript.",트집 잡는,"그 트집 잡는 심사위원은 원고의 모든 사소한 세부 사항에서 결점을 찾았다.",あら探しの,"そのあら探しの査読者は原稿のあらゆる細部に欠点を見つけた。",吹毛求疵的,"那位吹毛求疵的审稿人对手稿的每一个细节都挑毛病。",capcioso,"El revisor capcioso encontro defectos en cada detalle menor del manuscrito.",hay bắt bẻ,"Người phản biện hay bắt bẻ tìm lỗi trong mọi chi tiết nhỏ của bản thảo.",จับผิด,"ผู้ตรวจสอบที่ชอบจับผิดพบข้อบกพร่องในทุกรายละเอียดเล็กน้อยของต้นฉบับ",suka mencela,"Peninjau yang suka mencela menemukan kesalahan di setiap detail kecil naskah."
castigate,"The editorial board castigated the author for fabricating experimental data.",엄하게 꾸짖다,"편집위원회는 실험 데이터를 조작한 저자를 엄하게 꾸짖었다.",厳しく非難する,"編集委員会は実験データを捏造した著者を厳しく非難した。",严厉批评,"编辑委员会严厉批评了捏造实验数据的作者。",castigar,"La junta editorial castigo al autor por fabricar datos experimentales.",khiển trách,"Hội đồng biên tập khiển trách tác giả vì đã ngụy tạo dữ liệu thí nghiệm.",ตำหนิอย่างรุนแรง,"คณะบรรณาธิการตำหนิผู้เขียนอย่างรุนแรงสำหรับการปลอมแปลงข้อมูลการทดลอง",mengecam keras,"Dewan redaksi mengecam keras penulis karena memalsukan data eksperimen."
chicanery,"The defense attorney accused the prosecution of chicanery in presenting misleading evidence.",속임수,"변호인은 검찰이 오해의 소지가 있는 증거를 제시하는 속임수를 사용했다고 비난했다.",策略,"弁護士は検察が誤解を招く証拠を提出する策略を使ったと非難した。",诡计,"辩护律师指控检方在提交误导性证据时使用了诡计。",trampa,"El abogado defensor acuso a la fiscalia de trampa al presentar evidencia enganosa.",thủ đoạn,"Luật sư bào chữa cáo buộc công tố viên sử dụng thủ đoạn khi đưa ra bằng chứng gây hiểu lầm.",กลลวง,"ทนายฝ่ายจำเลยกล่าวหาฝ่ายโจทก์ว่าใช้กลลวงในการนำเสนอหลักฐานที่ทำให้เข้าใจผิด",tipu daya,"Pengacara pembela menuduh penuntut melakukan tipu daya dalam menyajikan bukti yang menyesatkan."
circumlocution,"The witness's circumlocution frustrated the judge who demanded a direct answer.",완곡한 표현,"증인의 완곡한 표현은 직접적인 답변을 요구한 판사를 좌절시켰다.",遠回しな表現,"証人の遠回しな表現に判事は苛立ち直接的な回答を求めた。",拐弯抹角,"证人的拐弯抹角让要求直接回答的法官感到沮丧。",circunlocucion,"La circunlocucion del testigo frustro al juez que exigia una respuesta directa.",nói vòng vo,"Việc nói vòng vo của nhân chứng khiến thẩm phán bực bội vì yêu cầu câu trả lời trực tiếp.",การพูดอ้อมค้อม,"การพูดอ้อมค้อมของพยานทำให้ผู้พิพากษาหงุดหงิดเพราะต้องการคำตอบตรงๆ",berbelit-belit,"Cara bicara saksi yang berbelit-belit membuat frustrasi hakim yang menuntut jawaban langsung."
compendious,"The compendious guide summarized decades of research in fewer than fifty pages.",간결한,"그 간결한 안내서는 수십 년간의 연구를 50페이지 이내로 요약했다.",簡潔な,"その簡潔なガイドは数十年の研究を50ページ未満にまとめた。",简明的,"这本简明的指南在不到五十页的篇幅中总结了数十年的研究。",compendioso,"La guia compendiosa resumio decadas de investigacion en menos de cincuenta paginas.",súc tích,"Cuốn hướng dẫn súc tích tóm tắt hàng thập kỷ nghiên cứu trong chưa đầy năm mươi trang.",กระชับ,"คู่มือที่กระชับสรุปงานวิจัยหลายทศวรรษในไม่ถึงห้าสิบหน้า",ringkas,"Panduan ringkas itu merangkum penelitian selama puluhan tahun dalam kurang dari lima puluh halaman."
