polynomial,A quadratic equation is a polynomial of degree two with at most two real roots.,다항식,이차방정식은 최대 두 개의 실수 근을 가지는 2차 다항식이다.,多項式,二次方程式は最大二つの実数根を持つ次数2の多項式である。,多项式,二次方程是一个最多有两个实数根的二次多项式。,polinomio,Una ecuación cuadrática es un polinomio de grado dos con a lo sumo dos raíces reales.,đa thức,Phương trình bậc hai là một đa thức bậc hai có tối đa hai nghiệm thực.,พหุนาม,สมการกำลังสองเป็นพหุนามดีกรีสองที่มีรากจริงได้มากที่สุดสองราก,polinomial,Persamaan kuadrat adalah polinomial berderajat dua dengan paling banyak dua akar nyata.
tangent,The tangent line touches the curve at exactly one point and shares the same slope there.,접선,접선은 곡선과 정확히 한 점에서 만나며 그 점에서 같은 기울기를 공유한다.,接線,接線は曲線とちょうど一点で接し、その点で同じ傾きを共有する。,切线,切线在恰好一点处触及曲线并在该点具有相同的斜率。,tangente,La línea tangente toca la curva en exactamente un punto y comparte la misma pendiente allí.,tiếp tuyến,Đường tiếp tuyến chạm vào đường cong tại đúng một điểm và có cùng độ dốc tại đó.,เส้นสัมผัส,เส้นสัมผัสแตะเส้นโค้งที่จุดเดียวเท่านั้นและมีความชันเท่ากันที่จุดนั้น,garis singgung,Garis singgung menyentuh kurva tepat di satu titik dan memiliki kemiringan yang sama di sana.
parameter,Adjusting the model parameters significantly improved the accuracy of the predictions.,매개변수,모형의 매개변수를 조정하자 예측 정확도가 크게 향상되었다.,パラメータ,モデルのパラメータを調整することで予測の精度が大幅に向上した。,参数,调整模型参数显著提高了预测的准确性。,parámetro,Ajustar los parámetros del modelo mejoró significativamente la precisión de las predicciones.,tham số,Việc điều chỉnh các tham số mô hình đã cải thiện đáng kể độ chính xác của các dự đoán.,พารามิเตอร์,การปรับพารามิเตอร์ของแบบจำลองช่วยเพิ่มความแม่นยำของการคาดการณ์อย่างมีนัยสำคัญ,parameter,Penyesuaian parameter model secara signifikan meningkatkan akurasi prediksi.
conjecture,Goldbach's conjecture has been verified computationally for extremely large numbers yet remains formally unproven.,추측,골드바흐의 추측은 매우 큰 수에 대해 전산으로 검증되었지만 아직 공식적으로 증명되지 않았다.,予想,ゴールドバッハの予想は非常に大きな数について計算的に検証されているが正式には未証明のままである。,猜想,哥德巴赫猜想已通过计算对极大数进行了验证但仍未得到正式证明。,conjetura,La conjetura de Goldbach ha sido verificada computacionalmente para números extremadamente grandes pero sigue sin demostrarse formalmente.,phỏng đoán,Phỏng đoán Goldbach đã được kiểm chứng bằng tính toán cho các số cực lớn nhưng vẫn chưa được chứng minh chính thức.,ข้อคาดการณ์,ข้อคาดการณ์ของโกลด์บาคได้รับการตรวจสอบด้วยคอมพิวเตอร์สำหรับจำนวนที่ใหญ่มากแต่ยังไม่ได้รับการพิสูจน์อย่างเป็นทางการ,konjektur,Konjektur Goldbach telah diverifikasi secara komputasional untuk bilangan yang sangat besar namun tetap belum terbukti secara formal.
nebula,The Orion Nebula is a stellar nursery where new stars are continuously being born from clouds of gas and dust.,성운,오리온 성운은 가스와 먼지 구름에서 새로운 별이 끊임없이 탄생하는 항성 요람이다.,星雲,オリオン星雲はガスと塵の雲から新しい星が絶えず誕生している恒星の揺りかごである。,星云,猎户座星云是一个恒星摇篮，新的恒星不断从气体和尘埃云中诞生。,nebulosa,La Nebulosa de Orión es una guardería estelar donde nuevas estrellas nacen continuamente a partir de nubes de gas y polvo.,tinh vân,Tinh vân Orion là một vườn ươm sao nơi các ngôi sao mới liên tục được sinh ra từ những đám mây khí và bụi.,เนบิวลา,เนบิวลานายพรานเป็นแหล่งกำเนิดดาวที่ดาวใหม่ถือกำเนิดอย่างต่อเนื่องจากเมฆก๊าซและฝุ่น,nebula,Nebula Orion adalah tempat kelahiran bintang di mana bintang-bintang baru terus-menerus terlahir dari awan gas dan debu.
quasar,Quasars are among the most luminous objects in the universe powered by supermassive black holes at galactic centres.,퀘이사,퀘이사는 은하 중심의 초대질량 블랙홀에 의해 작동하는 우주에서 가장 밝은 천체 중 하나이다.,クエーサー,クエーサーは銀河中心の超大質量ブラックホールによって駆動される宇宙で最も明るい天体の一つである。,类星体,类星体是宇宙中最明亮的天体之一由星系中心的超大质量黑洞提供能量。,cuásar,Los cuásares se encuentran entre los objetos más luminosos del universo alimentados por agujeros negros supermasivos en los centros galácticos.,chuẩn tinh,Chuẩn tinh là một trong những thiên thể sáng nhất trong vũ trụ được cung cấp năng lượng bởi các hố đen siêu lớn tại trung tâm thiên hà.,เควซาร์,เควซาร์เป็นหนึ่งในวัตถุที่สว่างที่สุดในจักรวาล ขับเคลื่อนโดยหลุมดำมวลยิ่งยวดที่ใจกลางกาแล็กซี,kuasar,Kuasar termasuk objek paling terang di alam semesta yang ditenagai oleh lubang hitam supermasif di pusat galaksi.
supernova,The supernova explosion scattered heavy elements across vast regions of interstellar space.,초신성,초신성 폭발은 무거운 원소들을 성간 우주의 광대한 영역으로 흩뿌렸다.,超新星,超新星爆発は重い元素を星間空間の広大な領域にまき散らした。,超新星,超新星爆发将重元素散布到广阔的星际空间区域。,supernova,La explosión de la supernova dispersó elementos pesados por vastas regiones del espacio interestelar.,siêu tân tinh,Vụ nổ siêu tân tinh phát tán các nguyên tố nặng khắp các vùng rộng lớn của không gian giữa các vì sao.,ซูเปอร์โนวา,การระเบิดของซูเปอร์โนวากระจายธาตุหนักไปทั่วบริเวณกว้างใหญ่ของอวกาศระหว่างดาว,supernova,Ledakan supernova menyebarkan unsur-unsur berat ke wilayah luas ruang antarbintang.
trajectory,Mission control calculated the optimal trajectory to minimize fuel consumption during re-entry.,궤적,미션 컨트롤은 재진입 시 연료 소비를 최소화하기 위한 최적의 궤적을 계산했다.,軌道; 弾道,管制室は再突入時の燃料消費を最小限にするための最適な軌道を計算した。,轨迹,任务控制中心计算了最优轨迹以在再入大气层时最大限度地减少燃料消耗。,trayectoria,El control de la misión calculó la trayectoria óptima para minimizar el consumo de combustible durante la reentrada.,quỹ đạo bay,Trung tâm điều khiển đã tính toán quỹ đạo bay tối ưu để giảm thiểu tiêu thụ nhiên liệu khi quay trở lại khí quyển.,วิถี,ศูนย์ควบคุมภารกิจคำนวณวิถีที่เหมาะสมที่สุดเพื่อลดการใช้เชื้อเพลิงระหว่างการกลับเข้าบรรยากาศ,lintasan,Kontrol misi menghitung lintasan optimal untuk meminimalkan konsumsi bahan bakar selama masuk kembali ke atmosfer.
celestial,Ancient civilizations tracked celestial bodies to develop remarkably precise calendars.,천체의,고대 문명은 놀라울 정도로 정밀한 달력을 개발하기 위해 천체를 추적했다.,天体の,古代文明は驚くほど正確な暦を開発するために天体を追跡していた。,天体的,古代文明通过追踪天体来制定精度惊人的历法。,celestial,Las civilizaciones antiguas rastreaban los cuerpos celestes para desarrollar calendarios notablemente precisos.,thuộc về thiên thể,Các nền văn minh cổ đại theo dõi các thiên thể để phát triển lịch chính xác đáng kinh ngạc.,เกี่ยวกับท้องฟ้า,อารยธรรมโบราณติดตามวัตถุท้องฟ้าเพื่อพัฒนาปฏิทินที่แม่นยำอย่างน่าทึ่ง,langit; selestial,Peradaban kuno melacak benda-benda langit untuk mengembangkan kalender yang sangat presisi.
cosmic,Cosmic radiation poses a significant health risk to astronauts on long-duration space missions.,우주의,우주 방사선은 장기간 우주 임무를 수행하는 우주비행사에게 심각한 건강 위험을 초래한다.,宇宙の,宇宙放射線は長期間の宇宙ミッションの宇宙飛行士に重大な健康リスクをもたらす。,宇宙的,宇宙辐射对执行长期太空任务的宇航员构成重大健康风险。,cósmico,La radiación cósmica representa un riesgo significativo para la salud de los astronautas en misiones espaciales de larga duración.,vũ trụ,Bức xạ vũ trụ gây ra nguy cơ sức khỏe đáng kể cho các phi hành gia trong các sứ mệnh không gian dài ngày.,จักรวาล,รังสีคอสมิกเป็นความเสี่ยงด้านสุขภาพที่สำคัญสำหรับนักบินอวกาศในภารกิจอวกาศระยะยาว,kosmis,Radiasi kosmis menimbulkan risiko kesehatan yang signifikan bagi astronaut dalam misi luar angkasa berdurasi lama.
interstellar,The interstellar medium between star systems contains sparse atoms of hydrogen and helium.,성간의,항성계 사이의 성간 매질에는 수소와 헬륨의 희박한 원자가 포함되어 있다.,星間の,恒星系の間の星間物質には水素とヘリウムのまばらな原子が含まれている。,星际的,恒星系之间的星际介质含有稀疏的氢和氦原子。,interestelar,El medio interestelar entre los sistemas estelares contiene átomos dispersos de hidrógeno y helio.,giữa các vì sao,Môi trường giữa các vì sao chứa các nguyên tử hydro và heli thưa thớt.,ระหว่างดวงดาว,สสารระหว่างดวงดาวในระบบดาวต่าง ๆ มีอะตอมของไฮโดรเจนและฮีเลียมที่เบาบาง,antarbintang,Medium antarbintang di antara sistem bintang mengandung atom-atom hidrogen dan helium yang jarang.
