ennui,"A profound ennui settled over the aristocrats who had exhausted every possible diversion.",권태,모든 가능한 오락을 소진한 귀족들에게 깊은 권태가 밀려왔다.,倦怠; 退屈,あらゆる娯楽を使い果たした貴族たちに深い倦怠感が漂った。,倦怠,一种深深的倦怠笼罩了那些耗尽一切消遣的贵族。,hastío; tedio,Un profundo hastío se apoderó de los aristócratas que habían agotado toda diversión posible.,sự chán chường,Một nỗi chán chường sâu sắc bao trùm những quý tộc đã cạn kiệt mọi thú tiêu khiển.,ความเบื่อหน่าย,ความเบื่อหน่ายอย่างลึกซึ้งปกคลุมเหล่าชนชั้นสูงที่หมดสิ้นความบันเทิงทุกอย่าง,kebosanan mendalam,Kebosanan mendalam menyelimuti para bangsawan yang telah menghabiskan setiap hiburan yang mungkin.
schadenfreude,"She felt a twinge of schadenfreude when her arrogant colleague was passed over for promotion.",고소함; 남의 불행에 대한 기쁨,오만한 동료가 승진에서 누락되었을 때 그녀는 약간의 고소함을 느꼈다.,他人の不幸を喜ぶ気持ち,傲慢な同僚が昇進を見送られた時彼女はかすかなシャーデンフロイデを感じた。,幸灾乐祸,当她那傲慢的同事被跳过晋升时她感到一丝幸灾乐祸。,placer por el mal ajeno,Sintió un toque de placer al ver que su arrogante colega no fue ascendido.,sướng vì người khác gặp xui,Cô cảm thấy một chút sướng khi đồng nghiệp kiêu ngạo bị bỏ qua trong đợt thăng chức.,สุขจากทุกข์ของผู้อื่น,เธอรู้สึกสะใจเล็กน้อยเมื่อเพื่อนร่วมงานที่หยิ่งผยองถูกข้ามไปในการเลื่อนตำแหน่ง,senang atas kemalangan orang lain,Dia merasakan sedikit kesenangan ketika koleganya yang sombong tidak dipromosikan.
raison d'être,"Music was her raison d'être and she could not imagine a life without it.",존재 이유,음악은 그녀의 존재 이유였고 그녀는 음악 없는 삶을 상상할 수 없었다.,存在理由,音楽は彼女の存在理由であり音楽のない人生は想像できなかった。,存在的理由,音乐是她存在的理由她无法想象没有音乐的生活。,razón de ser,La música era su razón de ser y no podía imaginar una vida sin ella.,lý do tồn tại,Âm nhạc là lý do tồn tại của cô và cô không thể tưởng tượng cuộc sống thiếu nó.,เหตุผลของการมีอยู่,ดนตรีคือเหตุผลของการมีอยู่ของเธอ และเธอไม่สามารถจินตนาการชีวิตที่ปราศจากมัน,alasan keberadaan,Musik adalah alasan keberadaannya dan dia tidak bisa membayangkan hidup tanpanya.
fait accompli,"By the time the board convened the merger was already a fait accompli.",기정사실,이사회가 소집되었을 때 합병은 이미 기정사실이었다.,既成事実,取締役会が招集された時には合併はすでに既成事実であった。,既成事实,等到董事会召开时合并已经是既成事实了。,hecho consumado,Para cuando la junta se reunió la fusión ya era un hecho consumado.,việc đã rồi,Vào lúc hội đồng quản trị họp thì việc sáp nhập đã là việc đã rồi.,เรื่องที่เป็นอันตกลงแล้ว,เมื่อถึงเวลาที่คณะกรรมการประชุม การควบรวมกิจการก็เป็นเรื่องที่ตกลงเสร็จสิ้นแล้ว,fakta yang sudah terjadi,Saat dewan berkumpul merger tersebut sudah menjadi fakta yang sudah terjadi.
tour de force,"The director's latest film is a tour de force of visual storytelling and emotional depth.",역작; 걸작,감독의 최신 영화는 시각적 스토리텔링과 감정적 깊이의 역작이다.,力作; 偉業,監督の最新映画は視覚的ストーリーテリングと感情的深さの力作である。,杰作; 力作,导演的最新电影是视觉叙事和情感深度的力作。,proeza; obra maestra,La última película del director es una proeza de narración visual y profundidad emocional.,kiệt tác,Bộ phim mới nhất của đạo diễn là một kiệt tác về kể chuyện bằng hình ảnh và chiều sâu cảm xúc.,ผลงานชิ้นเอก,ภาพยนตร์เรื่องล่าสุดของผู้กำกับเป็นผลงานชิ้นเอกของการเล่าเรื่องด้วยภาพและความลึกซึ้งทางอารมณ์,karya besar,Film terbaru sutradara tersebut adalah karya besar narasi visual dan kedalaman emosional.
indefatigable,"The indefatigable researcher spent decades pursuing a cure for the rare disease.",지칠 줄 모르는,지칠 줄 모르는 연구자는 희귀 질환의 치료법을 찾기 위해 수십 년을 보냈다.,疲れを知らない,疲れを知らないその研究者は希少疾患の治療法の追求に数十年を費やした。,不知疲倦的,这位不知疲倦的研究员花了几十年时间寻找这种罕见疾病的治疗方法。,infatigable,El infatigable investigador pasó décadas buscando una cura para la enfermedad rara.,không mệt mỏi,Nhà nghiên cứu không mệt mỏi đã dành hàng thập kỷ theo đuổi phương thuốc cho căn bệnh hiếm.,ไม่เหน็ดเหนื่อย,นักวิจัยผู้ไม่รู้จักเหน็ดเหนื่อยใช้เวลาหลายสิบปีค้นหาวิธีรักษาโรคหายาก,tak kenal lelah,Peneliti yang tak kenal lelah menghabiskan puluhan tahun mencari obat untuk penyakit langka tersebut.
serendipity,"The discovery of penicillin is often cited as a classic example of serendipity in science.",우연한 발견,페니실린의 발견은 종종 과학에서의 우연한 발견의 전형적인 예로 인용된다.,偶然の発見,ペニシリンの発見は科学におけるセレンディピティの典型的な例としてよく引用される。,意外发现,青霉素的发现常被引用为科学中偶然发现的经典例子。,serendipia,El descubrimiento de la penicilina se cita a menudo como un ejemplo clásico de serendipia en la ciencia.,sự tình cờ may mắn,Việc phát hiện penicillin thường được coi là ví dụ kinh điển về sự tình cờ may mắn trong khoa học.,ความบังเอิญอันน่ายินดี,การค้นพบเพนนิซิลลินมักถูกยกเป็นตัวอย่างคลาสสิกของความบังเอิญอันน่ายินดีในวิทยาศาสตร์,keberuntungan,Penemuan penisilin sering disebut sebagai contoh klasik keberuntungan dalam sains.
idiosyncratic,"His idiosyncratic teaching methods confused some students but inspired many others.",특이한; 독특한,그의 독특한 교수법은 일부 학생을 혼란스럽게 했지만 다른 많은 학생에게 영감을 주었다.,独特の,彼の独特な教授法は一部の学生を混乱させたが多くの学生にインスピレーションを与えた。,独特的,他独特的教学方法令一些学生困惑但激励了许多其他学生。,idiosincrásico,Sus métodos de enseñanza idiosincrásicos confundieron a algunos estudiantes pero inspiraron a muchos otros.,đặc thù; kỳ lạ,Phương pháp giảng dạy đặc thù của ông khiến một số sinh viên bối rối nhưng truyền cảm hứng cho nhiều người khác.,เฉพาะตัว; แปลกประหลาด,วิธีการสอนที่เฉพาะตัวของเขาทำให้นักเรียนบางคนสับสนแต่สร้างแรงบันดาลใจให้คนอื่นๆ อีกมาก,khas; unik,Metode pengajarannya yang khas membingungkan beberapa siswa tetapi menginspirasi banyak yang lain.
anachronistic,"The use of fax machines in the digital age feels distinctly anachronistic.",시대착오적인,디지털 시대에 팩스기를 사용하는 것은 분명히 시대착오적으로 느껴진다.,時代遅れの,デジタル時代のファックス機の使用は明らかに時代遅れに感じられる。,不合时宜的,在数字时代使用传真机显得明显不合时宜。,anacrónico,El uso de máquinas de fax en la era digital se siente claramente anacrónico.,lỗi thời; trái thời đại,Việc sử dụng máy fax trong thời đại kỹ thuật số rõ ràng là trái thời đại.,ล้าสมัย; ไม่เข้ายุค,การใช้เครื่องแฟกซ์ในยุคดิจิทัลรู้สึกล้าสมัยอย่างเห็นได้ชัด,anakronistis,Penggunaan mesin faks di era digital terasa sangat anakronistis.
surreptitious,"He cast a surreptitious glance at the classified documents on his supervisor's desk.",은밀한,그는 상사의 책상 위에 있는 기밀 문서를 은밀히 훔쳐보았다.,こっそりとした,彼は上司の机の上にある機密文書にこっそりと目をやった。,偷偷摸摸的,他偷偷地瞥了一眼主管桌上的机密文件。,subrepticio; furtivo,Lanzó una mirada furtiva a los documentos clasificados en el escritorio de su supervisor.,lén lút,Anh ta lén liếc nhìn các tài liệu mật trên bàn của cấp trên.,ลับๆ ล่อๆ,เขาแอบมองเอกสารลับบนโต๊ะหัวหน้าอย่างลับๆ,diam-diam; sembunyi-sembunyi,Dia melirik diam-diam ke dokumen rahasia di meja atasannya.
loquacious,"The loquacious guest dominated every conversation at the dinner party.",수다스러운,수다스러운 손님은 만찬 파티에서 모든 대화를 지배했다.,おしゃべりな,おしゃべりなゲストはディナーパーティーのあらゆる会話を独占した。,健谈的; 话多的,这位健谈的客人主导了晚宴上的每一场对话。,locuaz,El invitado locuaz dominó todas las conversaciones en la cena.,ba hoa; nói nhiều,Vị khách ba hoa chi phối mọi cuộc trò chuyện trong bữa tiệc tối.,พูดมาก; ช่างพูด,แขกที่ช่างพูดครอบงำทุกบทสนทนาในงานเลี้ยงอาหารค่ำ,cerewet; banyak bicara,Tamu yang cerewet mendominasi setiap percakapan di pesta makan malam.
