english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
proliferate,"Cancer cells proliferate rapidly without treatment.",확산하다,"암세포는 치료 없이 빠르게 확산한다.",増殖する,"がん細胞は治療なしに急速に増殖する。",扩散,"癌细胞在没有治疗的情况下迅速扩散。",proliferar,"Las células cancerosas proliferan rápidamente sin tratamiento.",lan rộng,"Tế bào ung thư lan rộng nhanh chóng nếu không điều trị.",แพร่กระจาย,"เซลล์มะเร็งแพร่กระจายอย่างรวดเร็วโดยไม่ได้รับการรักษา",berkembang biak,"Sel kanker berkembang biak dengan cepat tanpa pengobatan."
exacerbate,"Pollution exacerbates respiratory diseases.",악화시키다,"오염은 호흡기 질환을 악화시킨다.",悪化させる,"汚染は呼吸器疾患を悪化させる。",加剧,"污染加剧了呼吸系统疾病。",exacerbar,"La contaminación exacerba las enfermedades respiratorias.",làm trầm trọng,"Ô nhiễm làm trầm trọng thêm các bệnh hô hấp.",ทำให้แย่ลง,"มลพิษทำให้โรคระบบทางเดินหายใจแย่ลง",memperburuk,"Polusi memperburuk penyakit pernapasan."
paradigm,"The discovery shifted the scientific paradigm.",패러다임,"그 발견은 과학적 패러다임을 전환시켰다.",パラダイム,"その発見は科学的パラダイムを転換させた。",范式,"这一发现改变了科学范式。",paradigma,"El descubrimiento cambió el paradigma científico.",mô hình,"Phát hiện này đã thay đổi mô hình khoa học.",กระบวนทัศน์,"การค้นพบนี้เปลี่ยนกระบวนทัศน์ทางวิทยาศาสตร์",paradigma,"Penemuan itu mengubah paradigma ilmiah."
juxtapose,"The artist juxtaposes light and darkness in her work.",병치하다,"그 작가는 작품에서 빛과 어둠을 병치한다.",並置する,"そのアーティストは作品で光と闇を並置する。",并置,"艺术家在作品中将光明与黑暗并置。",yuxtaponer,"La artista yuxtapone la luz y la oscuridad en su obra.",đặt cạnh nhau,"Nghệ sĩ đặt cạnh nhau ánh sáng và bóng tối trong tác phẩm.",วางเคียงกัน,"ศิลปินวางเคียงกันระหว่างแสงและความมืดในผลงาน",menyandingkan,"Seniman itu menyandingkan terang dan gelap dalam karyanya."
empirical,"The theory must be supported by empirical evidence.",경험적인,"이론은 경험적 증거로 뒷받침되어야 한다.",実証的な,"理論は実証的な証拠によって裏付けられなければならない。",实证的,"理论必须有实证证据支持。",empírico,"La teoría debe estar respaldada por evidencia empírica.",thực nghiệm,"Lý thuyết phải được hỗ trợ bởi bằng chứng thực nghiệm.",เชิงประจักษ์,"ทฤษฎีต้องได้รับการสนับสนุนจากหลักฐานเชิงประจักษ์",empiris,"Teori harus didukung oleh bukti empiris."
aberrant,"The aberrant data points were excluded from the analysis.",비정상적인,"비정상적인 데이터 포인트는 분석에서 제외되었다.",異常な,"異常なデータポイントは分析から除外された。",异常的,"异常数据点被排除在分析之外。",aberrante,"Los datos aberrantes fueron excluidos del análisis.",bất thường,"Các điểm dữ liệu bất thường đã bị loại khỏi phân tích.",ผิดปกติ,"ข้อมูลที่ผิดปกติถูกตัดออกจากการวิเคราะห์",menyimpang,"Titik data yang menyimpang dikeluarkan dari analisis."
accentuate,"The report accentuates the need for reform.",강조하다,"보고서는 개혁의 필요성을 강조한다.",強調する,"報告書は改革の必要性を強調する。",强调,"报告强调了改革的必要性。",acentuar,"El informe acentúa la necesidad de reforma.",nhấn mạnh,"Báo cáo nhấn mạnh sự cần thiết phải cải cách.",เน้นย้ำ,"รายงานเน้นย้ำความจำเป็นในการปฏิรูป",menekankan,"Laporan itu menekankan perlunya reformasi."
adversarial,"The legal system is based on an adversarial process.",적대적인,"법률 시스템은 적대적 절차에 기반한다.",敵対的な,"法制度は敵対的なプロセスに基づいている。",对抗性的,"法律制度基于对抗性程序。",adversarial,"El sistema legal se basa en un proceso adversarial.",đối kháng,"Hệ thống pháp luật dựa trên quy trình đối kháng.",เป็นปฏิปักษ์,"ระบบกฎหมายตั้งอยู่บนกระบวนการที่เป็นปฏิปักษ์",adversarial,"Sistem hukum didasarkan pada proses adversarial."
alleviate,"The government introduced measures to alleviate poverty.",완화하다,"정부는 빈곤을 완화하기 위한 조치를 도입했다.",緩和する,"政府は貧困を緩和するための措置を導入した。",缓解,"政府采取措施缓解贫困。",aliviar,"El gobierno introdujo medidas para aliviar la pobreza.",giảm bớt,"Chính phủ đưa ra các biện pháp giảm bớt nghèo đói.",บรรเทา,"รัฐบาลออกมาตรการเพื่อบรรเทาความยากจน",meringankan,"Pemerintah memperkenalkan langkah-langkah untuk meringankan kemiskinan."
amalgamate,"The two companies amalgamated to form a conglomerate.",합병하다,"두 회사는 합병하여 대기업을 형성했다.",合併する,"二つの会社は合併して複合企業を形成した。",合并,"两家公司合并成立了一个企业集团。",fusionar,"Las dos empresas se fusionaron para formar un conglomerado.",hợp nhất,"Hai công ty hợp nhất thành một tập đoàn.",รวมกัน,"สองบริษัทรวมกันเป็นกลุ่มบริษัท",menggabungkan,"Kedua perusahaan bergabung membentuk konglomerat."
