korean,english,alt,situation,note,category
지금 일이 너무 많아서 정신이 없어,I'm completely swamped right now.,I'm buried in work at the moment.,일이 많을 때,swamped/buried 둘 다 busy보다 강한 표현,직장
갑자기 회의라니 미리 좀 말해줬어야지,You should've given me a heads up about the meeting.,A little warning would've been nice.,사전 통보 없었을 때,heads up = 사전 경고/알림,직장
회의 몇 시더라? 캘린더에 안 보이는데,When's the meeting? I don't see it on my calendar.,What time is the meeting? I can't find it on my schedule.,일정 확인,schedule과 calendar 둘 다 자연스러움,직장
그 보고서 내가 처리할게 걱정 마,Don't worry about the report. I'll take care of it.,I'm on it. Leave the report to me.,업무 맡겠다고 할 때,I'm on it = 내가 하고 있어/할게 (더 캐주얼),직장
어제 보낸 이메일 확인했어요?,Did you get my email about the budget from yesterday?,Have you had a chance to look at my email?,업무 팔로업,Have you had a chance to~? = 혹시 ~할 시간 있었어?,직장
오늘 재택이에요 9시부터 온라인이요,I'm working from home today. I'll be online by 9.,I'm WFH today. I'll be reachable from 9.,재택근무 알릴 때,WFH = Work From Home. 메신저에서 많이 씀,직장
오늘은 이만 퇴근하겠습니다 내일 봬요,I'm heading out for the day. See you tomorrow.,I'm gonna call it a day. See you in the morning.,퇴근할 때,call it a day = 오늘은 여기까지,직장
그건 제 담당이 아니라서 마케팅팀에 확인해보세요,That's not really my area. You should check with the marketing team.,I'm not the right person for that. Try reaching out to marketing.,업무 범위 밖일 때,reach out to = ~에게 연락하다,직장
다음 주에 미팅 하나 잡자,Let's schedule something for next week.,Can we set up a meeting sometime next week?,미팅 잡자고 할 때,set up a meeting / schedule a call,직장
지금 통화 괜찮아? 잠깐 얘기하고 싶은 게 있어,Is this a good time to talk? I need to run something by you.,Got a minute? I want to bounce something off you.,전화/대면 요청,run something by you / bounce off you = 의견 구하다,직장
이거 급한 건가요 아니면 월요일까지 기다려도 돼요?,Is this time-sensitive or can it wait until Monday?,How urgent is this? Can it hold till Monday?,우선순위 물을 때,time-sensitive = 시간이 중요한. hold = 기다리다,직장
프로젝트 진행 어떻게 되어가고 있어요?,How's the project coming along?,What's the latest on the project?,진행 상황 물을 때,What's the latest? = 최신 상황이 뭐야?,직장
전부 다 읽진 못했는데 대충 핵심은 파악했어,I didn't read the whole thing but I get the gist of it.,I skimmed through it. I got the main idea.,핵심 이해했을 때,gist = 요지 / skim = 훑어보다,직장
잠깐 나갔다 올게요 전화 받아야 해서,"Do you mind if I step out for a sec? I need to take this call.",Sorry let me grab this real quick. I'll be right back.,회의 중 잠시 나갈 때,step out = 잠깐 나가다,직장
몸이 안 좋아서 오늘 하루 쉬려고요,I'm not feeling well so I'm gonna take the day off.,I'm feeling sick. I'm going to call in today.,휴가/병가,call in sick = 아프다고 전화해서 쉬다,직장
그래서 결론이 뭔데? 본론으로 들어가자,So what's the bottom line? Let's cut to the chase.,Can you get to the point? What's the takeaway?,핵심을 물을 때,cut to the chase = 본론으로 들어가다,직장
