korean,english,alt,situation,note,category
어젯밤에 시험 공부하느라 밤새웠어,"I pulled an all-nighter studying for the exam.","I was up all night cramming for the test.",밤새 공부,pull an all-nighter = 밤을 새다 / cram = 벼락치기,학습
오늘 수업 빠질까 생각 중이야,I'm thinking about skipping class today.,I might ditch class today.,수업 빠질 때,skip class = cut class = ditch class 모두 수업 빠지다,학습
교수님이 출석 안 부르면 좋겠다,I hope the professor doesn't take attendance.,Fingers crossed there's no roll call today.,출석 걱정,take attendance = call roll = 출석을 부르다,학습
숙제 다 했어? 나는 아직 시작도 못 했어,Did you finish the homework? I haven't even started.,You done with the assignment? I haven't touched it yet.,과제 확인,haven't even started = 시작조차 못 했다,학습
이번 학기 시간표 진짜 빡세다,"My schedule is brutal this semester.","My timetable is packed this semester.",빡빡한 시간표,brutal = 매우 힘든 / packed = 꽉 찬,학습
수업 시간에 졸려서 죽겠어,"I'm so sleepy in class, I can barely keep my eyes open.",I keep dozing off during lectures.,수업 중 졸릴 때,doze off = 깜빡 졸다,학습
과제 제출 마감이 내일인데 큰일이다,The assignment is due tomorrow and I'm in trouble.,The deadline is tomorrow and I'm freaking out.,마감 임박,due = 마감인 / freak out = 매우 초조해하다,학습
이 수업 드랍할까 진지하게 고민 중이야,I'm seriously considering dropping this class.,I might actually withdraw from this course.,수강 철회,drop a class = withdraw from a course = 수강 철회하다,학습
교수님 설명 진짜 알아듣기 쉬워,The professor explains things really well.,The professor makes everything easy to understand.,좋은 수업,explains things well = 설명을 잘 하다,학습
이번 과제 팀플인데 팀원이 다 안 해,"It's a group project but nobody's pulling their weight.","We have a team assignment but no one's doing their part.",팀플 불만,pull one's weight = 자기 몫을 하다,학습
학점이 이번 학기 좀 위험해,My GPA is at risk this semester.,My grades are on thin ice this semester.,학점 걱정,GPA = Grade Point Average / on thin ice = 위태로운,학습
선생님이 갑자기 쪽지시험 본다고 했어,The teacher hit us with a pop quiz out of nowhere.,We had a surprise quiz sprung on us.,쪽지시험,pop quiz = 예고 없는 쪽지시험,학습
수행평가 비율이 너무 높아,"The coursework counts for too much of the grade.","Performance assessments are weighted way too heavily.",평가 비율,coursework = 수행평가 / weighted = 비중이 있는,학습
오늘 조퇴해도 되나요?,May I leave early today?,Is it okay if I head out early today?,조퇴 요청,leave early = head out early = 조퇴하다,학습
출석 일수 부족하면 F 받는대,If you miss too many classes you get an F.,Too many absences and you automatically fail.,출석 경고,absence = 결석 / automatically fail = 자동 F,학습
교수님 오피스아워에 질문하러 가야겠다,I should go to the professor's office hours to ask questions.,I need to visit the professor during office hours.,질문할 때,office hours = 교수 면담 시간,학습
이번 주 과제 양이 장난 아니야,"The amount of homework this week is no joke.","We have a crazy amount of assignments this week.",과제 많을 때,no joke = 장난 아닌 / crazy amount = 엄청난 양,학습
수업 끝나고 남아서 보충 들어야 해,I have to stay after class for extra help.,I need to attend a supplementary session after class.,보충 수업,extra help = supplementary session = 보충 수업,학습
선생님이 과제 양을 좀 줄여주셨으면,I wish the teacher would ease up on the homework.,I hope the teacher cuts back on assignments.,과제 부담,ease up on = 줄이다 / cut back on = 감소시키다,학습
학교에서 동아리 활동도 해야 해서 바빠,"I'm busy with extracurriculars on top of classes.","Between classes and club activities, I'm swamped.",바쁜 학교생활,extracurriculars = 과외 활동 / swamped = 매우 바쁜,학습
이번 수업에서 뭐 했어? 나 빠져서 모르겠어,What did I miss in class? I was absent.,Can you fill me in on today's lecture? I wasn't there.,결석 후 확인,fill me in = 빠진 내용을 알려주다,학습
교수님이 리포트 형식 완전 까다로워,The professor is super picky about the report format.,Our prof is really strict about formatting.,리포트 형식,picky = 까다로운 / strict about = ~에 엄격한,학습
등록금 냈어? 이번 달까지야,Did you pay your tuition? It's due this month.,Have you paid tuition yet? Deadline is this month.,등록금,tuition = 등록금/학비,학습
수업 자료 좀 공유해줄 수 있어?,Can you share the class materials with me?,Could you send me the lecture notes?,자료 공유,class materials = lecture notes = 수업 자료,학습
이번 주 현장학습 간다!,We're going on a field trip this week!,We have a field trip scheduled for this week!,현장학습,field trip = 현장학습 / 소풍,학습
